kodeBidang;kodeSubbidang;kodeKegiatan;Uraian;Keterangan
2;4;08;Pemeliharaan Sistem Pembuangan Air Limbah; (Drainase, Air limbah Rumah Tangga)
2;4;09;Pemeliharaan Taman/Taman Bermain Anak Milik Desa;
2;4;10;Pembangunan/Rehabilitasi/Peningkatan Sumur Resapan; **
2;4;11;Pembangunan/ Rehabilitasi/ Peningkatan Sumber Air Bersih Milik Desa; (Mata Air/Tandon Penampungan Air Hujan/ Sumur Bor/Sumur Gali)**
2;4;12;Pembangunan/Rehabilitasi/Peningkatan Sambungan Air Bersih ke Rumah Tangga; (pipanisasi)
2;4;13;Pembangunan/Rehabiltasi/Peningkatan Sanitasi Permukiman; (Gorong-gorong, Selokan, Pant, di luar prasarana jalan)
2;4;14;Pembangunan/Rehabilitas/Peningkatan Fasilitas Jamban Umum/MCK umum dll; ** 
2;4;15;Pembangunan/ Rehabilitasi/ Peningkatan Fasilitas Pengelolaan Sampah Desa/Permukiman; (Penampungan Bank Sampah)**
2;4;16;Pembangunan/Rehabilitasi/Peningkatan Sistem Pembuangan Air Limbah; (Drainase, Air limbah Rumah Tangga)**
2;4;17;Pembangunan/Rehabilitasi/Peningkatan Taman/Taman Bermain Anak Milik Desa;**
2;4;90;Dukungan Pelaksanaan Program Jambanisasi untuk Keluarga Miskin;
2;4;91;Persediaan Kendaraan Pengangkut Sampah, Gerobak Sampah, Tong Sampah, Mesin Pengolah Sampah;
2;4;92;Pemeliharaan Jaringan Listrik/ Penerangan Desa;
2;4;93;Pembangunan/ Rehabilitasi/ Peningkatan Jaringan Listrik/ Penerangan Jalan;
2;5;;Sub Bidang Kehutanan dan Lingkungan Hidup;
2;6;01;Pengelolaan Hutan Milik Desa;
2;5;02;Pengelolaan Lingkungan Hidup Desa;
2;5;03;Pelatihan/Sosialisasi/Penyuluhan/Penyadaran tentang Lingkungan Hidup dan Kehutanan;
2;5;90;Pembangunan Terasering Pada Daerah Rawan Longsor;
2;6;;Sub Bidang Perhubungan, Komunikasi, dan Informatika;
2;6;01;Pembuatan Rambu-rambu di Jalan  Desa;
2;6;02;Penyelenggaraan Informasi Publik Desa; (Misal : Pembuatan Poster/Baliho Informasi penetapan/LPJ APB Des untuk Warga, Website Desa, Koran Desa)
2;6;03;Pengelolaan dan Pembuatan Jaringan/Instalasi Komunikasi dan Informasi Lokal Desa;
2;7;;Sub Bidang Energi dan Sumber Days Mineral;
2;7;01;Pemeliharaan Sarana dan Prasarana Energi Altematif tingkat Desa;
2;7;02;Pembangunan/Rehabilitasi/Peningkatan Sarana dan Prasarana Energi Altematif tingkat Desa; **
2;7;90;Pengembangan dan Pengelolaan Sarana dan Prasarana Energi Altematif tingkat Desa;
2;8;;Sub Bidang Pariwisata;
2;8;01;Pemeliharaan Sarana dan Prasarana Pariwisata Milik Desa;
2;8;02;Pembangunan/Rehabilitasi/Peningkatan Sarana dan Prasarana Pariwisata Milik Desa; **
2;8;03;Pengembangan Pariwisata Tingkat Desa;
3;;;BIDANG PEMBINAAN KEMASYARARATAN DESA;"Bidang pembinaan kemasyarakatan berisi sub bidang dan kegiatan untuk  meningkatkan peran serta dan kesadaran masyarakat/lembaga kemasyarakatan desa yang mendukung proses pembangunan desa yang mencakup:"""
3;1;;Sub Bidang ketentraman, Ketertiban Umum, dan Pelindungan Masyarakat;
3;1;01;Pengadaan/ Penyelenggaraan Pos Keamanan Desa; (pembangunan pos,pengawasan pelaksanaan jadwal ronda/patroli dll) **
3;1;02;Penguatan dan Peningkatan Kapasitas Tenaga keamanan/Ketertiban oleh Pemerintah Desa; (SATLINMAS Desa)
3;1;03;Koordinasi Pembinaan Ketentraman, Ketertiban, dan Pelindungan Masyarakat (dengan masyarakat/instansi pemerintah daerah) Skala Lokal Desa;
3;1;04;Pelatihan Kesiapsiagaan/Tanggap Bencana Skala Lokal Desa;
3;1;05;Penyediaan Pos Kesiapsiagaan Bencana Skala Lokal Desa;
3;1;06;Bantuan Hukum Untuk Aparatur Desa dan Masyarakat Miskin;
3;1;07;Pelatihan /Penyuluhan/Sosialisasi kepada Masyarakat di Bidang Hukum dan Pelindungan Masyarakat;
3;1;90;Dukungan Pembinaan Keamanan, Ketertiban, dan Ketentraman Wllayah dan Masyarakat Desa; (Seragam dan Op Linmas, BABINSA, BABINKAMT1BMAS)
3;2;;Sub Bidang Kebudayaan dan Keagamaan;
3;2;01;Pembinaan Group Kesenian dan Kebudayaan Tingkat Desa;
3;2;02;Pengiriman Kontingen Group Kesenian dan Kebudayaan sebagai Wakil Desa di tingkat Kecamatan dan Kabupaten/ Kota;
3;2;03;Penyelenggaraan Festival Kesenian, Adat/Kebudayaan, dan Keagamaan (perayaan hari kemerdekaan, hari besar keagamaan) tingkat Desa;
3;2;04;Pemeliharaan Sarana dan Prasarana Kebudayaan/Rumah Adat/Keagamaan Milik Desa; **
3;2;05;Pembangunan/Rehabilitasi/Peningkatan Sarana dan Prasarana Kebudayaan/Rumah Adat /Keagamaan Milik Desa; **
3;2;90;Melestarikan Dan Mengembangkan Gotong Royong Masyarakat Desa (BBGRM);
3;2;91;Dukungan Pengelolaan Sarana dan Prasarana Kebudayaan/Rumah Adat/Keagamaan di Desa; **
3;3;;Sub Bidang Kepemudaan dan Olah Raga;
3;3;01;Pengiriman Kontingen Kepemudaan dan Olah Raga sebagai Wakil Desa di tingkat Kecamatan dan Kabupaten/Kota;
3;3;02;Penyelenggaraan Pelatihan Kepemudaan (Kepemudaan, Penyadaraan Wawasan Kebangsaan) tingkat Desa;
3;3;03;Penyelenggaraan Festival/Lomba Kepemudaan dan Olah Raga tingkat Desa;
3;3;04;Pemeliharaan Sarana dan Prasarana Kepemudaan dan Olah Raga Milik Desa;**
3;3;05;Pembangunan/Rehabilitasi/Peningkatan Sarana dan Prasarana Kepemudaan dan Olah Raga Milik Desa;**
3;3;06;Pembinaan Karang Taruna/Klub Kepemudaan/Klub Olah Raga;
3;4;;Sub Bidang Kelembagaan Masyarakat;
3;4;01;Pembinaan Lembaga Adat;
3;4;02;Pembinaan LKMD/LPM/LPMD;
3;4;03;Pembinaan PKK;
3;4;04;Pelatihan Pembinaan Lembaga Kemasyarakatan;
3;4;90;Pembentukan Lembaga Kemasyarakatan;
3;4;91;Pembentukan dan Dukungan Fasilitasi Kader Pembangunan dan Pemberdayaan Masyarakat;
4;;;BIDANG PEMBERDAYAAN MASYARAKAT DESA;Bidang Pemberdayaan Masyarakat mencakup sub-bidang dan kegiatan yang diarahkan untuk meningkatkan pemahaman, kapasitas masyarakat dalam meningkatkan kesejahteraan masyarakat, yang mencakup :
4;1;;Sub Bidang Kelautan dan Perikanan;
4;1;01;Pemeliharaan Karamba/Kolam Perikanan Darat Milik Desa;
4;1;02;Pemeliharaan Pelabuhan Perikanan Sungai/Kecil Milik Desa;
4;1;03;Pembangunan/ Rehabilitasi/ Peningkatan Karamba/Kolam Perikanan Darat Milik Desa; **
4;1;04;Pembangunan/ Rehabilitasi/ Peningkatan Pelabuhan Perikanan Sungai/Kecil Milik Desa;**
4;1;05;Bantuan Perikanan; (Bibit/Pakan/dst)
4;1;06;Pelatihan/Bimtek/Pengenalan Tekonologi Tepat Guna untuk Perikanan Darat/Nelayan; **
4;1;90;Pelaksanaan Penanggulangan Hama dan Penyakit Secara Terpadu;
4;1;91;Pengelolaan Balai Benih Ikan Milik Desa;
4;1;92;Pemeliharaan Tambatan Perahu/Tempat Pelelangan Ikan (TPI) Milik Desa;**
4;1;93;Pembangunan/Rehabilitasi/Peningkatan Tambatan Perahu/Tempat Pelelangan Ikan (TPI) Milik Desa;**
4;2;;Sub Bidang Pertanian dan Peternakan;
4;2;01;Peningkatan Produksi Tanaman Pangan; (Alat Produksi dan pengolahan pertanian, penggilingan Padi/jagung)
4;2;02;Peningkatan Produksi Peternakan; (Alat Produksi dan pengolahan peternakan, kandang)
4;2;03;Penguatan Ketahanan Pangan Tingkat Desa; (Lumbung Desa)
4;2;04;Pemeliharan Saluran Irigasi Tersier/Sederhana;
4;2;05;Pelatihan/Bimtek/Pengenalan Tekonologi Tepat Guna untuk Pertanian/Peternakan; **
4;2;90;Peningkatan Produksi Tanaman Perkebunan; (Alat Produksi dan pengolahan perkebunan)
4;2;91;Pembangunan/Rehabilitasi/Peningkatan Balai Pertemuan Kelompok Tani;
4;2;92;Pembangunan/Peningkatan Irigasi Tersier;
4;3;;Sub Bidang Peningkatan Kapasitas Aparatur Desa;
4;3;01;Peningkatan kapasitas kepala Desa;
4;3;02;Peningkatan kapasitas perangkat Desa;
4;3;03;Peningkatan kapasitas BPD;
4;4;;Sub Bidang Pemberdayaan Perempuan, Perlindungan Anak dan Keluarga;
4;4;01;Pelatihan/Penyuluhan Pemberdayaan Perempuan;
4;4;02;Pelatihan/Penyuluhan Perlindungan Anak;
4;4;03;Pelatihan dan Penguatan Penyandang Difabel (penyandang disabilitas);
4;4;90;Fasiilitasi Penguatan Kelembagaan Pengarusutamaan Gender dan Anak;
4;4;91;Fasilitasi Upaya Perlindungan Perempuan dan Anak Terhadap Tindakan Kekerasan;
4;4;92;Peningkatan Kapasitas Kelompok Pemerhati dan Perlindungan Anak;
4;5;;Sub Bidang Koperasi, Usaha Mikro Kecil dan Menengah (UMKM);
4;5;01;Pelatihan Manajemen Pengelolaan Koperasi/ KUD/ UMKM;
4;5;02;Pengembangan Sarana Prasarana Usaha Mikro, Kecil dan Menengah serta Koperasi;
4;5;03;Pengadaan Teknologi Tepat Guna untuk Pengembangan Ekonomi Pedesaan Non-Pertanian;
4;5;90;Pengembangan/ Promosi Produk Unggulan Desa;
4;6;;Sub Bidang Dukungan Penanaman Modal;
4;6;01;Pembentukan BUM Desa; (Persiapan dan Pembentukan Awal BUM Des)
4;6;02;Pelatihan Pengelolaan BUM Desa; (Pelatihan yang dilaksanakan oleh Desa)
4;6;90;Pembangunan Kantor BUM Desa/Sarana Prasarana BUM Desa; (menjadi aset desa)**
4;6;91;Pelaksanaan Audit Keuangan BUM Desa, Evaluasi Perkembangan BUM Desa;
4;7;;Sub Bidang Perdagangan dan Perindustrian;
4;7;01;Pemeliharaan Pasar Desa/Kios milik Desa;
4;7;02;Pembangunan/Rehabilitasi/Peningkatan Pasar Desa/Kios milik Desa; **
4;7;03;Pengembangan Industri kecil level Desa;
4;7;04;Pembentukan/Fasilitasi/Pelatihan/Pendampingan kelompok usaha ekonomi produktif; (pengrajin, pedagang, industri rumah tangga) **
5;;;BIDANG PENANGGULANGAN BENCANA, KEADAAN DARURAT DAN MENDESAK DESA;Bidang Penanggulangan Bencana, Keadaan Darurat dan Mendesak Desa digunakan untuk kegiatan
5;1;;Sub Bidang Penanggulangan Bencana;
5;1;00;Penanggulangan Bencana;
5;2;;Sub Bidang Keadaan Darurat;
5;2;00;Keadaan Darurat;
5;3;;Sub Bidang Keadaan Mendesak.;
5;3;00;Keadaan Mendesak;
