kodeUrusan 	kodeUrusanBidang 	kodeProgram 	kodeKegiatan 	kodeSubKegiatan 	Nomenklatur
X 	XX 	1 	02.03 	23 	Pengadaan Peralatan Rumah Jabatan/Dinas
X 	XX 	1 	02.03 	24 	Pengadaan Peralatan Gedung Kantor
X 	XX 	1 	02.03 	25 	Pengadaan Mebeleur
X 	XX 	1 	02.03 	26 	Pemeliharaan Rutin/Berkala Rumah Jabatan
X 	XX 	1 	02.03 	27 	Pemeliharaan Rutin/Berkala Rumah Dinas
X 	XX 	1 	02.03 	28 	Pemeliharaan Rutin/Berkala Gedung Kantor
X 	XX 	1 	02.03 	29 	Pemeliharaan Rutin/Berkala Mobil Jabatan
X 	XX 	1 	02.03 	30 	Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional
X 	XX 	1 	02.03 	31 	Pemeliharaan Rutin/Berkala Perlengkapan Rumah Jabatan/Dinas
X 	XX 	1 	02.03 	32 	Pemeliharaan Rutin/Berkala Perlengkapan Gedung Kantor
X 	XX 	1 	02.03 	33 	Pemeliharaan Rutin/Berkala Peralatan Rumah Jabatan/Dinas
X 	XX 	1 	02.03 	34 	Pemeliharaan Rutin/Berkala Peralatan Gedung Kantor
X 	XX 	1 	02.03 	35 	Pemeliharaan Rutin/Berkala Mebeleur
X 	XX 	1 	02.03 	36 	Rehabilitasi Sedang/Berat Rumah Jabatan
X 	XX 	1 	02.03 	37 	Rehabilitasi Sedang/Berat Rumah Dinas
X 	XX 	1 	02.03 	38 	Rehabilitasi Sedang/Berat Rumah Gedung Kantor
X 	XX 	1 	02.03 	39 	Rehabilitasi Sedang/Berat Mobil Jabatan
X 	XX 	1 	02.03 	40 	Rehabilitasi Sedang/Berat Kendaraan Dinas/Operasional
X 	XX 	1 	02.04 	 	Peningkatan Disiplin dan Kapasitas Sumber Daya Aparatur
X 	XX 	1 	02.04 	1 	Pengadaan Mesin/Kartu Absensi
X 	XX 	1 	02.04 	2 	Pengadaan Pakaian Dinas Beserta Perlengkapannya
X 	XX 	1 	02.04 	3 	Pengadaan Pakaian Kerja Lapangan
X 	XX 	1 	02.04 	4 	Pengadaan Pakaian Korpri
X 	XX 	1 	02.04 	5 	Pengadaan Pakaian Khusus Hari-hari Tertentu
X 	XX 	1 	02.04 	6 	Pemulangan Pegawai yang Pensiun
X 	XX 	1 	02.04 	7 	Pemulangan Pegawai yang Tewas dalam Melaksanakan Tugas
X 	XX 	1 	02.04 	8 	Pemindahan Tugas PNS
X 	XX 	1 	02.04 	9 	Pendidikan dan Pelatihan Formal
X 	XX 	1 	02.04 	10 	Sosialisasi Peraturan Perundang-undangan
X 	XX 	1 	02.04 	11 	Bimbingan Teknis Implementasi Peraturan Perundang-undangan
1 	 	 	 	 	URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR
1 	1 	 	 	 	URUSAN PEMERINTAHAN BIDANG PENDIDIKAN
1 	1 	2 	 	 	PROGRAM PENGELOLAAN PENDIDIKAN
1 	1 	2 	02.01 	 	Pengelolaan Pendidikan Sekolah Dasar
1 	1 	2 	02.01 	1 	Pembangunan Unit Sekolah Baru (USB)
1 	1 	2 	02.01 	2 	Penambahan Ruang Kelas Baru
1 	1 	2 	02.01 	3 	Pembangunan Ruang Guru/Kepala Sekolah/TU
1 	1 	2 	02.01 	4 	Pembangunan Ruang Unit Kesehatan Sekolah
1 	1 	2 	02.01 	5 	Pembangunan Perpustakaan Sekolah
1 	1 	2 	02.01 	6 	Pembangunan Sarana, Prasarana dan Utilitas Sekolah
1 	1 	2 	02.01 	7 	Pembangunan Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah
1 	1 	2 	02.01 	8 	Rehabilitasi Sedang/Berat Ruang Kelas
1 	1 	2 	02.01 	9 	Rehabilitasi Sedang/Berat Ruang Guru/Kepala Sekolah/TU
1 	1 	2 	02.01 	10 	Rehabilitasi Sedang/Berat Ruang Unit Kesehatan Sekolah
1 	1 	2 	02.01 	11 	Rehabilitasi Sedang/Berat Perpustakaan Sekolah
1 	1 	2 	02.01 	12 	Rehabilitasi Sedang/Berat Sarana, Prasarana dan Utilitas Sekolah
1 	1 	2 	02.01 	13 	Rehabilitasi Sedang/Berat Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah
1 	1 	2 	02.01 	14 	Pengadaan Mebeluer Sekolah
1 	1 	2 	02.01 	15 	Pengadaan Alat Rumah Tangga Sekolah
1 	1 	2 	02.01 	16 	Pengadaan Perlengkapan Sekolah
1 	1 	2 	02.01 	17 	Pengadaan Perlengkapan Siswa
1 	1 	2 	02.01 	18 	Pemeliharaan Rutin Bangunan Gedung dan Ruangan
1 	1 	2 	02.01 	19 	Pemeliharaan Rutin Sarana, Prasarana dan Utilitas Sekolah
1 	1 	2 	02.01 	20 	Pemeliharaan Rutin Rumah Dinas Kepala Sekolah, Guru, Penjaga Sekolah
1 	1 	2 	02.01 	21 	Penyediaan Biaya Personil Peserta Didik Sekolah Dasar
1 	1 	2 	02.01 	22 	Pengadaan Alat Praktik dan Peraga Siswa
1 	1 	2 	02.01 	23 	Penyelengaraan Proses Belajar dan Ujian bagi Peserta Didik
1 	1 	2 	02.01 	24 	Penyiapan dan Tindak Lanjut Evaluasi Satuan Pendidikan Dasar
1 	1 	2 	02.01 	25 	Pembinaan Minat, Bakat dan Kreativitas Siswa
1 	1 	2 	02.01 	26 	Penyediaan Pendidik dan Tenaga Kependidikan Bagi Satuan Pendidikan Sekolah Dasar
1 	1 	2 	02.01 	27 	Pengembangan Karir Pendidik dan Tenaga Kependidikan pada Satuan Pendidikan Sekolah Dasar
1 	1 	2 	02.01 	28 	Pembinaan Kelembagaan dan Manajemen Sekolah
1 	1 	2 	02.02 	 	Pengelolaan Pendidikan Sekolah Menengah Pertama
1 	1 	2 	02.02 	1 	Pembangunan Unit Sekolah Baru (USB)
1 	1 	2 	02.02 	2 	Penambahan Ruang Kelas Baru
1 	1 	2 	02.02 	3 	Pembangunan Ruang Guru/Kepala Sekolah/TU
1 	1 	2 	02.02 	4 	Pembangunan Ruang Unit Kesehatan Sekolah
1 	1 	2 	02.02 	5 	Pembangunan Perpustakaan Sekolah
1 	1 	2 	02.02 	6 	Pembangunan Laboratorium
1 	1 	2 	02.02 	7 	Pembangunan Ruang Serba Guna/Aula
1 	1 	2 	02.02 	8 	Pembangunan Asrama Sekolah
1 	1 	2 	02.02 	9 	Pembangunan Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah
1 	1 	2 	02.02 	10 	Pembangunan Fasilitas Parkir
1 	1 	2 	02.02 	11 	Pembangunan Kantin Sekolah
1 	1 	2 	02.02 	12 	Pembangunan Sarana, Prasarana dan Utilitas Sekolah
1 	1 	2 	02.02 	13 	Rehabilitasi Sedang/Berat Gedung Sekolah
1 	1 	2 	02.02 	14 	Rehabilitasi Sedang/Berat Ruang Kelas Sekolah
1 	1 	2 	02.02 	15 	Rehabilitasi Sedang/Berat Ruang Guru Sekolah
1 	1 	2 	02.02 	16 	Rehabilitasi Sedang/Berat Ruang Unit Kesehatan Sekolah
1 	1 	2 	02.02 	17 	Rehabilitasi Sedang/Berat Perpustakaan Sekolah
1 	1 	2 	02.02 	18 	Rehabilitasi Sedang/Berat Laboratorium
1 	1 	2 	02.02 	19 	Rehabilitasi Sedang/Berat Ruang Serba Guna/Aula
1 	1 	2 	02.02 	20 	Rehabilitasi Sedang/Berat Sedang/Berat Asrama
1 	1 	2 	02.02 	21 	Rehabilitasi Sedang/Berat Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah
1 	1 	2 	02.02 	22 	Rehabilitasi Sedang/Berat Fasilitas Parkir
1 	1 	2 	02.02 	23 	Rehabilitasi Sedang/Berat Kantin Sekolah
1 	1 	2 	02.02 	24 	Rehabilitasi Sedang/Berat Sarana, Prasarana dan Utilitas Sekolah
1 	1 	2 	02.02 	25 	Pengadaan Mebeluer Sekolah
1 	1 	2 	02.02 	26 	Pengadaan Alat Rumah Tangga Sekolah
1 	1 	2 	02.02 	27 	Pengadaan Perlengkapan Sekolah
1 	1 	2 	02.02 	28 	Pengadaan Perlengkapan Siswa
1 	1 	2 	02.02 	29 	Pemeliharaan Rutin Bangunan Gedung dan Ruangan
1 	1 	2 	02.02 	30 	Pemeliharaan Rutin Sarana, Prasarana dan Utilitas Sekolah
1 	1 	2 	02.02 	31 	Pemeliharaan Rutin Rumah Dinas Kepala Sekolah, Guru, Penjaga Sekolah
1 	1 	2 	02.02 	32 	Penyediaan Biaya Personil Peserta Didik Sekolah Menengah Pertama
1 	1 	2 	02.02 	33 	Perlengkapan Dasar Buku Teks Peserta Didik
1 	1 	2 	02.02 	34 	Perlengkapan Belajar Peserta Didik
1 	1 	2 	02.02 	35 	Pengadaan Alat Praktik dan Peraga Siswa
1 	1 	2 	02.02 	36 	Penyelengaraan Proses Belajar dan Ujian bagi Peserta Didik
1 	1 	2 	02.02 	37 	Penyiapan dan Tindak Lanjut Evaluasi Satuan Pendidikan Sekolah Menengah Pertama
1 	1 	2 	02.02 	38 	Pembinaan Minat, Bakat dan Kreativitas Siswa
1 	1 	2 	02.02 	39 	Penyediaan Pendidik dan Tenaga Kependidikan Bagi Satuan Pendidikan Sekolah Menengah Pertama
1 	1 	2 	02.02 	40 	Pengembangan Karir Pendidik dan Tenaga Kependidikan pada Satuan Pendidikan Sekolah Menengah Pertama
1 	1 	2 	02.02 	41 	Pembinaan Kelembagaan dan Manajemen Sekolah
1 	1 	2 	02.03 	 	Pengelolaan Pendidikan Anak Usia Dini (PAUD)
1 	1 	2 	02.03 	1 	Pembangunan Gedung/Ruang Kelas/Ruang Guru PAUD
1 	1 	2 	02.03 	2 	Pembangunan Sarana, Prasarana dan Utilitas PAUD
1 	1 	2 	02.03 	3 	Rehabilitasi Sedang/Berat Gedung/Ruang Kelas/Ruang Guru PAUD
1 	1 	2 	02.03 	4 	Rehabilitasi Sedang/Berat Pembangunan Sarana, Prasarana dan Utilitas PAUD
1 	1 	2 	02.03 	5 	Pemeliharaan Rutin Gedung/Ruang Kelas/Ruang Guru PAUD
1 	1 	2 	02.03 	6 	Pemeliharaan Rutin Sarana, Prasarana dan Utilitas PAUD
1 	1 	2 	02.03 	7 	Pengadaan Mebeluer PAUD
1 	1 	2 	02.03 	8 	Pengadaan Alat Rumah Tangga PAUD
1 	1 	2 	02.03 	9 	Pengadaan Perlengkapan PAUD
1 	1 	2 	02.03 	10 	Pengadaan Perlengkapan Siswa PAUD
1 	1 	2 	02.03 	11 	Penyediaan Biaya Personil Peserta Didik PAUD
1 	1 	2 	02.03 	12 	Pengadaan Alat Praktik dan Peraga Siswa PAUD
1 	1 	2 	02.03 	13 	Penyelenggaraan Proses Belajar PAUD
1 	1 	2 	02.03 	14 	Penyiapan dan Tindak Lanjut Evaluasi Satuan PAUD
1 	1 	2 	02.03 	15 	Penyediaan Pendidik dan Tenaga Kependidikan Bagi Satuan PAUD
1 	1 	2 	02.03 	16 	Pengembangan Karir Pendidik dan Tenaga Kependidikan pada Satuan Pendidikan PAUD
1 	1 	2 	02.03 	17 	Pembinaan Kelembagaan dan Manajemen PAUD
1 	1 	2 	02.04 	 	Pengelolaan Pendidikan Nonformal/Kesetaraan
1 	1 	2 	02.04 	1 	Pembangunan Gedung/Ruang Kelas/Ruang Guru Nonformal/Kesetaraan
1 	1 	2 	02.04 	2 	Pembangunan Sarana, Prasarana dan Utilitas Sekolah Nonformal/Kesetaraan
1 	1 	2 	02.04 	3 	Rehabilitasi Sedang/Berat Gedung/Ruang Kelas/Ruang Guru Pendidikan Nonformal/Kesetaraan
1 	1 	2 	02.04 	4 	Rehabilitasi Sedang/Berat Pembangunan Sarana, Prasarana dan Utilitas Sekolah Nonformal/Kesetaraan
1 	1 	2 	02.04 	5 	Pemeliharaan Rutin Gedung/Ruang Kelas/Ruang Guru Pendidikan Nonformal/Kesetaraan
1 	1 	2 	02.04 	6 	Pemeliharaan Rutin Sarana, Prasarana dan Utilitas Sekolah Nonformal/Kesetaraan
1 	1 	2 	02.04 	7 	Pengadaan Mebeluer Pendidikan Nonformal/Kesetaraan
1 	1 	2 	02.04 	8 	Pengadaan Alat Rumah Tangga Pendidikan Nonformal/Kesetaraan
1 	1 	2 	02.04 	9 	Pengadaan Perlengkapan Pendidikan Nonformal/Kesetaraan
1 	1 	2 	02.04 	10 	Penyediaan Biaya Personil Peserta Didik Nonformal/Kesetaraan
1 	1 	2 	02.04 	11 	Pengadaan Alat Praktik dan Peraga Siswa Nonformal/Kesetaraan
1 	1 	2 	02.04 	12 	Penyelenggaraan Proses Belajar Nonformal/Kesetaraan
1 	1 	2 	02.04 	13 	Penyiapan dan Tindak Lanjut Evaluasi Satuan Pendidikan di Pendidikan Nonformal/Kesetaraan
1 	1 	2 	02.04 	14 	Penyediaan Pendidik dan Tenaga Kependidikan Bagi Satuan Pendidikan Nonformal/Kesetaraan
1 	1 	2 	02.04 	15 	Pengembangan Karir Pendidik dan Tenaga Kependidikan pada Satuan Pendidikan Nonformal/Kesetaraan
1 	1 	2 	02.04 	16 	Pembinaan Kelembagaan dan Manajemen Sekolah Nonformal/Kesetaraan
1 	1 	3 	 	 	PROGRAM PENGEMBANGAN KURIKULUM
1 	1 	3 	02.01 	 	Penetapan Kurikulum Muatan Lokal Pendidikan Dasar
1 	1 	3 	02.01 	1 	Penyusunan Kompetensi Dasar Muatan Lokal Pendidikan Dasar
1 	1 	3 	02.01 	2 	Penyusunan Silabus Muatan Lokal Pendidikan Dasar
1 	1 	3 	02.01 	3 	Penyediaan Buku Teks Pelajaran Muatan Lokal Pendidikan Dasar
1 	1 	3 	02.01 	4 	Pelatihan Penyusunan Kurikulum Muatan Lokal Pendidikan Dasar
1 	1 	3 	02.02 	 	Penetapan Kurikulum Muatan Lokal Pendidikan Anak Usia Dini dan Pendidikan Nonformal
1 	1 	3 	02.02 	1 	Penyusunan Kompetensi Dasar Muatan Lokal Pendidikan Anak Usia Dini dan Pendidikan Nonformal
1 	1 	3 	02.02 	2 	Penyusunan Silabus Muatan Lokal Pendidikan Anak Usia Dini dan Pendidikan Nonformal
1 	1 	3 	02.02 	3 	Penyediaan Buku Teks Pelajaran Muatan Lokal Pendidikan Anak Usia Dini dan Pendidikan Nonformal
1 	1 	4 	 	 	PROGRAM PENDIDIK DAN TENAGA KEPENDIDIKAN
1 	1 	4 	02.01 	 	Pemerataan Kuantitas dan Kualitas Pendidik dan Tenaga Kependidikan bagi Satuan Pendidikan Dasar, PAUD, dan Pendidikan Nonformal/Kesetaraan
1 	1 	4 	02.01 	1 	Perhitungan dan Pemetaan Pendidik dan Tenaga Kependidikan Satuan Pendidikan Dasar, PAUD, Dan Pendidikan Nonformal/Kesetaraan
1 	1 	4 	02.01 	2 	Penataan Pendistribusian Pendidik dan Tenaga Kependidikan bagi Satuan Pendidikan Dasar, PAUD, dan Pendidikan Nonformal/Kesetaraan
1 	1 	5 	 	 	PROGRAM PENGENDALIAN PERIZINAN PENDIDIKAN
1 	1 	5 	02.01 	 	Penerbitan Izin Pendidikan Dasar yang Diselenggarakan oleh Masyarakat
1 	1 	5 	02.01 	1 	Penilaian Kelayakan Usul Perizinan Pendidikan Dasar yang Diselenggarakan oleh Masyarakat
1 	1 	5 	02.01 	2 	Pengendalian dan Pengawasan Perizinan Pendidikan Dasar yang Diselenggarakan oleh Masyarakat
1 	1 	5 	02.02 	 	Penerbitan Izin PAUD dan Pendidikan Nonformal yang Diselenggarakan oleh Masyarakat
1 	1 	5 	02.02 	1 	Penilaian Kelayakan Usul Perizinan PAUD dan Pendidikan Nonformal yang Diselenggarakan oleh Masyarakat
1 	1 	5 	02.02 	2 	Pengendalian dan Pengawasan Perizinan PAUD Dan Pendidikan Nonformal yang Diselenggarakan Oleh Masyarakat
1 	1 	5 	02.02 	3 	Pembinaan PAUD dan Pendidikan Nonformal yang Diselenggarakan oleh Masyarakat
1 	1 	6 	 	 	PROGRAM PENGEMBANGAN BAHASA DAN SASTRA
1 	1 	6 	02.01 	 	Pembinaan, Pengembangan dan Perlindungan Bahasa dan Sastra yang Penuturannya dalam Daerah Kabupaten/Kota
1 	1 	6 	02.01 	1 	Penyusunan Kamus Bahasa Daerah Kabupaten/Kota
1 	1 	6 	02.01 	2 	Vitalitas, Konservasi dan Revitalisasi Bahasa dan Sastra Daerah Kabupaten/Kota
1 	1 	6 	02.01 	3 	Publikasi Bahasa dan Sastra Daerah Kabupaten/Kota
1 	1 	6 	02.01 	4 	Penghargaan Tokoh Kebahasaan dan Kesastraan Daerah Kabupaten/Kota
1 	1 	6 	02.01 	5 	Penyediaan dan Pendistribusian Buku Cerita Rakyat Daerah Penunjang Literasi Kabupaten/Kota
1 	1 	6 	02.01 	6 	Peningkatan Apresiasi Siswa Terhadap Bahasa Dan Sastra Daerah Kewenangan Kabupaten/Kota
1 	1 	6 	02.01 	7 	Penyusunan Modul dan Bahan Ajar Bahasa Daerah Kewenangan Kabupaten/Kota
1 	2 	 	 	 	URUSAN PEMERINTAHAN BIDANG KESEHATAN
1 	2 	2 	 	 	PROGRAM PEMENUHAN UPAYA KESEHATAN PERORANGAN DAN UPAYA KESEHATAN MASYARAKAT
1 	2 	2 	02.01 	 	Penyediaan Fasilitas Pelayanan Kesehatan untuk UKM dan UKP Kewenangan Daerah Kabupaten Kota
1 	2 	2 	02.01 	1 	Pembangunan Rumah Sakit beserta Sarana dan Prasarana Pendukungnya
1 	2 	2 	02.01 	2 	Pembangunan Puskesmas
1 	2 	2 	02.01 	3 	Pembangunan Fasilitas Kesehatan Lainnya
1 	2 	2 	02.01 	4 	Pembangunan Rumah Dinas Tenaga Kesehatan
1 	2 	2 	02.01 	5 	Pengembangan Rumah Sakit
1 	2 	2 	02.01 	6 	Pengembangan Puskesmas
1 	2 	2 	02.01 	7 	Pengembangan Fasilitas Kesehatan Lainnya
1 	2 	2 	02.01 	8 	Rehabilitasi dan Pemeliharaan Rumah Sakit
1 	2 	2 	02.01 	9 	Rehabilitasi dan Pemeliharaan Puskesmas
1 	2 	2 	02.01 	10 	Rehabilitasi dan Pemeliharaan Fasilitas Kesehatan Lainnya
1 	2 	2 	02.01 	11 	Rehabilitasi dan Pemeliharaan Rumah Dinas Tenaga Kesehatan
1 	2 	2 	02.01 	12 	Pengadaan Sarana Fasilitas Pelayanan Kesehatan
1 	2 	2 	02.01 	13 	Pengadaan Prasarana dan Pendukung Fasilitas Pelayanan Kesehatan
1 	2 	2 	02.01 	14 	Pengadaan Alat Kesehatan/Alat Penunjang Medik Fasilitas Pelayanan Kesehatan
1 	2 	2 	02.01 	15 	Pengadaan dan Pemeliharaan Alat Kalibrasi
1 	2 	2 	02.01 	16 	Pengadaan Obat, Vaksin
1 	2 	2 	02.01 	17 	Pengadaan Bahan Habis Pakai
1 	2 	2 	02.01 	18 	Pemeliharaan Sarana Fasilitas Pelayanan Kesehatan
1 	2 	2 	02.01 	19 	Pemeliharaan Prasarana dan Pendukung Fasilitas Pelayanan Kesehatan
1 	2 	2 	02.01 	20 	Pemeliharaan Rutin dan Berkala Alat Kesehatan/Alat Penunjang Medik Fasilitas Pelayanan Kesehatan
1 	2 	2 	02.02 	 	Penyediaan Layanan Kesehatan untuk UKM dan UKP Rujukan Tingkat Daerah Kabupaten/Kota
1 	2 	2 	02.02 	1 	Pengelolaan Pelayanan Kesehatan Ibu Hamil
1 	2 	2 	02.02 	2 	Pengelolaan Pelayanan Kesehatan Ibu Bersalin
1 	2 	2 	02.02 	3 	Pengelolaan Pelayanan Kesehatan Bayi Baru Lahir
1 	2 	2 	02.02 	4 	Pengelolaan Pelayanan Kesehatan Balita
1 	2 	2 	02.02 	5 	Pengelolaan Pelayanan Kesehatan pada Usia Pendidikan Dasar
1 	2 	2 	02.02 	6 	Pengelolaan Pelayanan Kesehatan pada Usia Produktif
1 	2 	2 	02.02 	7 	Pengelolaan Pelayanan Kesehatan pada Usia Lanjut
1 	2 	2 	02.02 	8 	Pengelolaan Pelayanan Kesehatan Penderita Hipertensi
1 	2 	2 	02.02 	9 	Pengelolaan Pelayanan Kesehatan Penderita Diabetes Melitus
1 	2 	2 	02.02 	10 	Pengelolaan Pelayanan Kesehatan Orang Dengan Gangguan Jiwa Berat
1 	2 	2 	02.02 	11 	Pengelolaan Pelayanan Kesehatan Orang Terduga Tuberkulosis
1 	2 	2 	02.02 	12 	Pengelolaan Pelayanan Kesehatan Orang Dengan Risiko Terinfeksi HIV
1 	2 	2 	02.02 	13 	Pengelolaan Pelayanan Kesehatan bagi Penduduk Pada Kondisi Kejadian Luar Biasa (KLB)
1 	2 	2 	02.02 	14 	Pengelolaan Pelayanan Kesehatan Bagi Penduduk Terdampak Krisis Kesehatan Akibat Bencana Dan/Atau Berpotensi Bencana
1 	2 	2 	02.02 	15 	Pengelolaan Pelayanan Kesehatan Gizi Masyarakat
1 	2 	2 	02.02 	16 	Pengelolaan Pelayanan Kesehatan Kerja dan Olahraga
1 	2 	2 	02.02 	17 	Pengelolaan Pelayanan Kesehatan Lingkungan
1 	2 	2 	02.02 	18 	Pengelolaan Pelayanan Promosi Kesehatan
1 	2 	2 	02.02 	19 	Pengelolaan Pelayanan Kesehatan Tradisonal, Akupuntur, Asuhan Mandiri dan Tradisional Lainnya
1 	2 	2 	02.02 	20 	Pengelolaan Surveilans Kesehatan
1 	2 	2 	02.02 	21 	Pengelolaan Pelayanan Kesehatan Orang dengan Masalah Kesehatan Jiwa (ODMK)
1 	2 	2 	02.02 	22 	Pengelolaan Pelayanan Kesehatan Jiwa dan NAPZA
1 	2 	2 	02.02 	23 	Pengelolaan Upaya Kesehatan Khusus
1 	2 	2 	02.02 	24 	Pengelolaan Upaya Pengurangan Risiko Krisis Kesehatan dan Pasca Krisis Kesehatan
1 	2 	2 	02.02 	25 	Pelayanan Kesehatan Penyakit Menular dan Tidak Menular
1 	2 	2 	02.02 	26 	Pengelolaan Jaminan Kesehatan Masyarakat
1 	2 	2 	02.02 	27 	Deteksi Dini Penyalahgunaan NAPZA di Fasyankes dan Sekolah
1 	2 	2 	02.02 	28 	Pengambilan dan Pengiriman Spesimen Penyakit Potensial KLB ke Lab Rujukan/Nasional
1 	2 	2 	02.02 	29 	Penyelenggaraan Kabupaten/Kota Sehat
1 	2 	2 	02.02 	30 	Penyediaan Telemedicine di Fasilitas Pelayanan Kesehatan
1 	2 	2 	02.02 	31 	Pengelolaan Penelitian Kesehatan
1 	2 	2 	02.02 	32 	Operasional Pelayanan Rumah Sakit
1 	2 	2 	02.02 	33 	Operasional Pelayanan Puskesmas
1 	2 	2 	02.02 	34 	Operasional Pelayanan Fasilitas Kesehatan Lainnya
1 	2 	2 	02.02 	35 	Pelaksanaan Akreditasi Fasilitas Kesehatan di Kabupaten/Kota
1 	2 	2 	02.02 	36 	Investigasi Awal Kejadian Tidak Diharapkan (Kejadian Ikutan Pasca Imunisasi dan Pemberian Obat Massal)
1 	2 	2 	02.02 	37 	Pelaksanaan Kewaspadaan Dini dan Respon Wabah
1 	2 	2 	02.03 	 	Penyelenggaraan Sistem Informasi Kesehatan Secara Terintegrasi
1 	2 	2 	02.03 	1 	Pengelolaan Data dan Informasi Kesehatan
1 	2 	2 	02.03 	2 	Pengelolaan Sistem Informasi Kesehatan
1 	2 	2 	02.03 	3 	Pengadaan Alat/ Perangkat Sistem Informasi Kesehatan dan Jaringan Internet
1 	2 	2 	02.04 	 	Penerbitan Izin Rumah Sakit Kelas C dan D dan Fasilitas Pelayanan Kesehatan Tingkat Daerah Kabupaen/Kota
1 	2 	2 	02.04 	1 	Pengendalian dan Pengawasan serta Tindak Lanjut Pengawasan Perizinan Rumah Sakit Kelas C dan D
1 	2 	2 	02.04 	2 	Peningkatan Tata Kelola Rumah Sakit dan Fasilitas Pelayanan Kesehatan Tingkat Daerah Kabupaten/Kota
1 	2 	2 	02.04 	3 	Peningkatan Mutu Pelayanan Fasilitas Kesehatan
1 	2 	2 	02.04 	4 	Penyiapan Perumusan dan Pelaksanaan Pelayanan Kesehatan Rujukan
