kodeGolongan;kodeBidang;kodeKelompok;kodeSubKelompok;namaBarang
3;02;01;99;ALAT ANGKUTAN DARAT BERMOTOR LAINNYA
3;02;02;00;ALAT ANGKUTAN DARAT TAK BERMOTOR
3;02;02;01;KENDARAAN TAK BERMOTOR ANGKUTAN BARANG
3;02;02;02;KENDARAAN TAK BERMOTOR PENUMPANG
3;02;02;03;ALAT ANGKUTAN KERETA REL TAK BERMOTOR
3;02;02;99;ALAT ANGKUTAN DARAT TAK BERMOTOR LAINNYA
3;02;03;00;ALAT ANGKUTAN APUNG BERMOTOR
3;02;03;01;ALAT ANGKUTAN APUNG BERMOTOR UNTUK BARANG
3;02;03;02;ALAT ANGKUTAN APUNG BERMOTOR UNTUK PENUMPANG
3;02;03;03;ALAT ANGKUTAN APUNG BERMOTOR KHUSUS
3;02;03;99;ALAT ANGKUTAN APUNG BERMOTOR LAINNYA
3;02;04;00;ALAT ANGKUTAN APUNG TAK BERMOTOR
3;02;04;01;ALAT ANGKUTAN APUNG TAK BERMOTOR UNTUK BARANG
3;02;04;02;ALAT ANGKUTAN APUNG TAK BERMOTOR UNTUK PENUMPANG
3;02;04;03;ALAT ANGKUTAN APUNG TAK BERMOTOR KHUSUS
3;02;04;99;ALAT ANGKUTAN APUNG TAK BERMOTOR LAINNYA
3;03;00;00;ALAT BENGKEL DAN ALAT UKUR
3;03;01;00;ALAT BENGKEL BERMESIN
3;03;01;01;PERKAKAS KONSTRUKSI LOGAM TERPASANG PADA PONDASI
3;03;01;02;PERKAKAS KONSTRUKSI LOGAM YANG TRANSPORTABLE (BERPINDAH)
3;03;01;03;PERKAKAS BENGKEL LISTRIK
3;03;01;04;PERKAKAS BENGKEL SERVICE
3;03;01;05;PERKAKAS PENGANGKAT BERMESIN
3;03;01;06;PERKAKAS BENGKEL KAYU
3;03;01;07;PERKAKAS BENGKEL KHUSUS
3;03;01;08;PERALATAN LAS
3;03;01;99;ALAT BENGKEL BERMESIN LAINNYA
3;03;02;00;ALAT BENGKEL TAK BERMESIN
3;03;02;01;PERKAKAS BENGKEL KONSTRUKSI LOGAM
3;03;02;02;PERKAKAS BENGKEL LISTRIK
3;03;02;03;PERKAKAS BENGKEL SERVICE
3;03;02;04;PERKAKAS PENGANGKAT
3;03;02;05;PERKAKAS STANDARD (STANDARD TOOLS)
3;03;02;06;PERKAKAS KHUSUS (SPECIAL TOOLS)
3;03;02;07;PERKAKAS BENGKEL KERJA
3;03;02;08;PERALATAN TUKANG BESI
3;03;02;09;PERALATAN TUKANG KAYU
3;03;02;10;PERALATAN TUKANG KULIT
3;03;02;11;"PERALATAN UKUR, GIP & FETING"
3;03;02;12;PERALATAN BENGKEL KHUSUS PELADAM
3;03;02;99;ALAT BENGKEL TAK BERMESIN LAINNYA
3;03;03;00;ALAT UKUR
3;03;03;01;ALAT UKUR UNIVERSAL
3;03;03;02;UNIVERSAL TESTER
3;03;03;03;ALAT UKUR/PEMBANDING
3;03;03;04;ALAT UKUR LAINNYA
3;03;03;05;ALAT TIMBANGAN/BIARA
3;03;03;06;ANAK TIMBANGAN / BIARA
3;03;03;07;TAKARAN KERING
3;03;03;08;TAKARAN BAHAN BANGUNAN
3;03;03;09;TAKARAN LAINNYA
3;04;00;00;ALAT PERTANIAN
3;04;01;00;ALAT PENGOLAHAN
3;04;01;01;ALAT PENGOLAHAN TANAH DAN TANAMAN
3;04;01;02;ALAT PEMELIHARAAN TANAMAN/IKAN/TERNAK
3;04;01;03;ALAT PANEN
3;04;01;04;ALAT PENYIMPAN HASIL PERCOBAAN PERTANIAN
3;04;01;05;ALAT LABORATORIUM PERTANIAN
3;04;01;06;ALAT PROSESING
3;04;01;07;ALAT PASCA PANEN
3;04;01;08;ALAT PRODUKSI PERIKANAN
3;04;01;99;ALAT PENGOLAHAN LAINNYA
3;05;00;00;ALAT KANTOR & RUMAH TANGGA
3;05;01;00;ALAT KANTOR
3;05;01;01;MESIN KETIK
3;05;01;02;MESIN HITUNG/MESIN JUMLAH
3;05;01;03;ALAT REPRODUKSI (PENGGANDAAN)
3;05;01;04;ALAT PENYIMPAN PERLENGKAPAN KANTOR
3;05;01;05;ALAT KANTOR LAINNYA
3;05;01;99;ALAT KANTOR LAINNYA
3;05;02;00;ALAT RUMAH TANGGA
3;05;02;01;MEUBELAIR
3;05;02;02;ALAT PENGUKUR WAKTU
3;05;02;03;ALAT PEMBERSIH
3;05;02;04;ALAT PENDINGIN
3;05;02;05;ALAT DAPUR
3;05;02;06;ALAT RUMAH TANGGA LAINNYA ( HOME USE )
3;05;02;99;ALAT RUMAH TANGGA LAINNYA
3;06;00;00;"ALAT STUDIO, KOMUNIKASI DAN PEMANCAR"
3;06;01;00;ALAT STUDIO
3;06;01;01;PERALATAN STUDIO AUDIO
3;06;01;02;PERALATAN STUDIO VIDEO DAN FILM
3;06;01;03;PERALATAN STUDIO GAMBAR
3;06;01;04;PERALATAN CETAK
3;06;01;05;PERALATAN STUDIO PEMETAAN/PERALATAN UKUR TANAH
3;06;01;99;ALAT STUDIO LAINNYA
3;06;02;00;ALAT KOMUNIKASI
3;06;02;01;ALAT KOMUNIKASI TELEPHONE
3;06;02;02;ALAT KOMUNIKASI RADIO SSB
3;06;02;03;ALAT KOMUNIKASI RADIO HF/FM
3;06;02;04;ALAT KOMUNIKASI RADIO VHF
3;06;02;05;ALAT KOMUNIKASI RADIO UHF
3;06;02;06;ALAT KOMUNIKASI SOSIAL
3;06;02;07;ALAT-ALAT SANDI
3;06;02;08;ALAT KOMUNIKASI KHUSUS
3;06;02;09;ALAT KOMUNIKASI DIGITAL DAN KONVENSIONAL
3;06;02;10;ALAT KOMUNIKASI SATELIT
3;06;02;99;ALAT KOMUNIKASI LAINNYA
3;06;03;00;PERALATAN PEMANCAR
3;06;03;01;PERALATAN PEMANCAR MF/MW
3;06;03;02;PERALATAN PEMANCAR HF/SW
3;06;03;03;PERALATAN PEMANCAR VHF/FM
3;06;03;04;PERALATAN PEMANCAR UHF
3;06;03;05;PERALATAN PEMANCAR SHF
3;06;03;06;PERALATAN ANTENA MF/MW
3;06;03;07;PERALATAN ANTENA HF/SW
3;06;03;08;PERALATAN ANTENA VHF/FM
3;06;03;09;PERALATAN ANTENA UHF
3;06;03;10;PERALATAN ANTENA SHF/PARABOLA
3;06;03;11;PERALATAN TRANSLATOR VHF/VHF
3;06;03;12;PERALATAN TRANSLATOR UHF/UHF
3;06;03;13;PERALATAN TRANSLATOR VHF/UHF
3;06;03;14;PERALATAN TRANSLATOR UHF/VHF
3;06;03;15;PERALATAN MICROWAVE F P U
3;06;03;16;PERALATAN MICROWAVE TERESTRIAL
3;06;03;17;PERALATAN MICROWAVE TVRO
3;06;03;18;PERALATAN DUMMY LOAD
3;06;03;19;SWITCHER ANTENA
3;06;03;20;SWITCHER/MENARA ANTENA
3;06;03;21;FEEDER
3;06;03;22;HUMIDITY CONTROL
3;06;03;23;PROGRAM INPUT EQUIPMENT
3;06;03;24;PERALATAN ANTENE PENERIMA VHF
3;06;03;25;PERALATAN PEMANCAR LF
3;06;03;26;UNIT PEMANCAR MF+HF
3;06;03;27;PERALATAN ANTENA PEMANCAR MF+HF
3;06;03;28;PERALATAN PENERIMA
3;06;03;29;PERALATAN PEMANCAR DAN PENERIMA LF
3;06;03;30;PERALATAN PEMANCAR DAN PENERIMA MF
3;06;03;31;PERALATAN PEMANCAR DAN PENERIMA HF
3;06;03;32;PERALATAN PEMANCAR DAN PENERIMA MF+HF
3;06;03;33;PERALATAN PEMANCAR DAN PENERIMA VHF
3;06;03;34;PERALATAN PEMANCAR DAN PENERIMA UHF
3;06;03;35;PERALATAN PEMANCAR DAN PENERIMA SHF
3;06;03;36;PERALATAN ANTENA PEMANCAR DAN PENERIMA LF
3;06;03;37;PERALATAN ANTENA PEMANCAR DAN PENERIMA MF
3;06;03;38;PERALATAN ANTENA PEMANCAR DAN PENERIMA HF
3;06;03;39;PERALATAN ANTENA PEMANCAR DAN PENERIMA MF+HF
3;06;03;40;PERALATAN ANTENA PEMANCAR DAN PENERIMA VHF
3;06;03;41;PERALATAN ANTENA PEMANCAR DAN PENERIMA UHF
3;06;03;42;PERALATAN ANTENA PEMANCAR DAN PENERIMA SHF
3;06;03;43;PERALATAN PENERIMA CUACA CITRA SATELITE RESOLUSI RENDAH
3;06;03;44;PERALATAN PENERIMA CUACA CITRA SATELITE RESOLUSI TINGGI
3;06;03;45;PERALATAN PENERIMA DAN PENGIRIM GAMBAR KE PERMUKAAN
3;06;03;46;PERALATAN PERLENGKAPAN RADIO
3;06;03;47;SUMBER TENAGA
3;06;03;99;PERALATAN PEMANCAR LAINNYA
3;06;04;00;PERALATAN KOMUNIKASI NAVIGASI
3;06;04;01;PERALATAN KOMUNIKASI NAVIGASI INSTRUMEN LANDING SYSTEM
3;06;04;02;VERY HIGHT FREQUENCE OMNI RANGE (VOR)
3;06;04;03;DISTANCE MEASURING EQUIPMENT (DME)
3;06;04;04;RADAR
3;06;04;05;ALAT PENGATUR TELEKOMUNIKASI
3;06;04;06;PERALATAN KOMUNIKASI UNTUK DOKUMENTASI
3;06;04;99;PERALATAN KOMUNIKASI NAVIGASI LAINNYA
3;07;00;00;KOMPUTER
3;07;01;00;KOMPUTER UNIT
3;07;01;01;KOMPUTER JARINGAN
3;07;01;02;PERSONAL KOMPUTER
3;07;01;99;KOMPUTER UNIT LAINNYA
3;07;02;00;PERALATAN KOMPUTER
3;07;02;01;PERALATAN MAINFRAME
3;07;02;02;PERALATAN MINI KOMPUTER
3;07;02;03;PERALATAN PERSONAL KOMPUTER
3;07;02;04;PERALATAN JARINGAN
3;07;02;99;PERALATAN KOMPUTER LAINNYA
3;08;00;00;ALAT PENGEBORAN
3;08;01;00;ALAT PENGEBORAN MESIN
3;08;01;01;BOR MESIN TUMBUK
3;08;01;02;BOR MESIN PUTAR
3;08;01;99;ALAT PENGEBORAN MESIN LAINNYA
3;08;02;00;ALAT PENGEBORAN NON MESIN
3;08;02;01;BANGKA
3;08;02;02;PANTEK
3;08;02;03;PUTAR
3;08;02;04;PERALATAN BANTU
3;08;02;99;ALAT PENGEBORAN NON MESIN LAINNYA
3;09;00;00;"ALAT PRODUKSI, PENGOLAHAN DAN PEMURNIAN"
3;09;01;00;SUMUR
3;09;01;01;PERALATAN SUMUR MINYAK
3;09;01;02;SUMUR PEMBORAN
3;09;01;99;SUMUR LAINNYA
3;09;02;00;PRODUKSI
3;09;02;01;R I G
3;09;02;99;PRODUKSI LAINNYA
3;09;03;00;PENGOLAHAN DAN PEMURNIAN
3;09;03;01;ALAT PENGOLAHAN MINYAK
3;09;03;02;ALAT PENGOLAHAN AIR
3;09;03;03;ALAT PENGOLAHAN STEAM
3;09;03;04;ALAT PENGOLAHAN WAX
3;09;03;99;PENGOLAHAN DAN PEMURNIAN LAINNYA
3;10;00;00;PERALATAN OLAH RAGA
3;10;01;00;PERALATAN OLAH RAGA
3;10;01;01;PERALATAN OLAH RAGA ATLETIK
3;10;01;02;PERALATAN PERMAINAN
3;10;01;03;PERALATAN SENAM
3;10;01;04;PARALATAN OLAH RAGA AIR
3;10;01;05;PERALATAN OLAH RAGA UDARA
3;10;01;06;PERALATAN OLAH RAGA LAINNYA
4;00;00;00;GEDUNG DAN BANGUNAN
4;01;00;00;BANGUNAN GEDUNG
4;01;01;00;BANGUNAN GEDUNG TEMPAT KERJA
4;01;01;01;BANGUNAN GEDUNG KANTOR
4;01;01;02;BANGUNAN GUDANG
4;01;01;03;BANGUNAN GEDUNG UNTUK BENGKEL
4;01;01;04;BANGUNAN GEDUNG INSTALASI
4;01;01;05;BANGUNAN GEDUNG LABORATORIUM
4;01;01;06;BANGUNAN KESEHATAN
4;01;01;07;BANGUNAN GEDUNG TEMPAT IBADAH
4;01;01;08;BANGUNAN GEDUNG TEMPAT PERTEMUAN
4;01;01;09;BANGUNAN GEDUNG TEMPAT PENDIDIKAN
4;01;01;10;BANGUNAN GEDUNG TEMPAT OLAH RAGA
4;01;01;11;BANGUNAN GEDUNG PERTOKOAN/KOPERASI/PASAR
4;01;01;12;BANGUNAN GEDUNG GARASI/POOL
4;01;01;13;BANGUNAN GEDUNG PEMOTONG HEWAN
4;01;01;14;BANGUNAN GEDUNG PERPUSTAKAAN
4;01;01;15;BANGUNAN GEDUNG MUSIUM
4;01;01;16;BANGUNAN GEDUNG TERMINAL/PELABUHAN
4;01;01;17;BANGUNAN TERBUKA
4;01;01;18;BANGUNAN PENAMPUNG SEKAM
4;01;01;19;BANGUNAN TEMPAT PELELANGAN IKAN (TPI)
4;01;01;20;BANGUNAN INDUSTRI
4;01;01;21;BANGUNAN PETERNAKAN/PERIKANAN
4;01;01;22;BANGUNAN GEDUNG TEMPAT KERJA LAINNYA
4;01;01;23;BANGUNAN FASILITAS UMUM
4;01;01;24;BANGUNAN PARKIR
4;01;01;25;TAMAN
4;01;01;99;BANGUNAN GEDUNG TEMPAT KERJA LAINNYA
4;01;02;01;HOTEL
4;01;02;02;MOTEL
4;01;02;03;PANTI ASUHAN
4;01;02;99;BANGUNAN GEDUNG TEMPAT TINGGAL LAINNYA
4;02;00;00;MONUMEN
4;02;01;00;CANDI/TUGU PERINGATAN/PRASASTI
4;02;01;01;CANDI
4;02;01;02;TUGU
4;02;01;03;BANGUNAN PENINGGALAN
4;02;01;99;CANDI/TUGU PERINGATAN/PRASASTI LAINNYA
5;00;00;00;"JALAN,  IRIGASI DAN JARINGAN"
5;01;00;00;JALAN DAN JEMBATAN
5;01;01;00;JALAN
5;01;01;01;JALAN DESA
5;01;01;02;JALAN KHUSUS
5;01;01;99;JALAN LAINNYA
5;01;02;00;JEMBATAN
5;01;02;01;JEMBATAN PADA JALAN DESA
5;01;02;02;JEMBATAN PADA JALAN KHUSUS
5;01;02;03;JEMBATAN PENYEBERANGAN
5;01;02;04;JEMBATAN LABUH/SANDAR PADA TERMINAL
5;01;02;05;JEMBATAN PENGUKUR
5;01;02;99;JEMBATAN LAINNYA
5;02;00;00;BANGUNAN AIR
5;02;01;00;BANGUNAN AIR IRIGASI
5;02;01;01;BANGUNAN WADUK IRIGASI
5;02;01;02;BANGUNAN PENGAMBILAN IRIGASI
5;02;01;03;BANGUNAN PEMBAWA IRIGASI
5;02;01;04;BANGUNAN PEMBUANG IRIGASI
5;02;01;05;BANGUNAN PENGAMAN IRIGASI
5;02;01;06;BANGUNAN PELENGKAP IRIGASI
5;02;01;07;BANGUNAN SAWAH IRIGASI
5;02;01;99;BANGUNAN AIR IRIGASI LAINNYA
5;02;02;00;BANGUNAN PENGAIRAN PASANG SURUT
5;02;02;01;BANGUNAN WADUK PASANG SURUT
5;02;02;02;BANGUNAN PENGAMBILAN PASANG SURUT
5;02;02;03;BANGUNAN PEMBAWA PASANG SURUT
5;02;02;04;SALURAN PEMBUANG PASANG SURUT
5;02;02;05;BANGUNAN PENGAMAN PASANG SURUT
5;02;02;06;BANGUNAN PELENGKAP PASANG SURUT
5;02;02;07;BANGUNAN SAWAH PASANG SURUT
5;02;02;99;BANGUNAN PENGAIRAN PASANG SURUT LAINNYA
5;02;03;00;BANGUNAN PENGEMBANGAN RAWA DAN POLDER
5;02;03;01;BANGUNAN WADUK PENGEMBANGAN RAWA
5;02;03;02;BANGUNAN PENGAMBILAN PENGEMBANGAN RAWA
5;02;03;03;BANGUNAN PEMBAWA PENGEMBANGAN RAWA
5;02;03;04;BANGUNAN PEMBUANG PENGEMBANGAN RAWA
5;02;03;05;BANGUNAN PENGAMAN PENGEMBANGAN RAWA
5;02;03;06;BANGUNAN PELENGKAP PENGEMBANGAN RAWA
5;02;03;07;BANGUNAN SAWAH PENGEMBANGAN RAWA
5;02;03;99;BANGUNAN PENGEMBANGAN RAWA DAN POLDER LAINNYA
5;02;04;00;BANGUNAN PENGAMAN SUNGAI/PANTAI & PENANGGULANGAN BENCANA ALAM
5;02;04;01;BANGUNAN PENGAMAN SUNGAI/PANTAI & PENANGGULANGAN BENCANA ALAM
5;02;04;02;BANGUNAN PENGAMBILAN PENGAMAN SUNGAI/PANTAI
5;02;04;03;BANGUNAN PEMBAWA PENGAMAN SUNGAI/PANTAI
5;02;04;04;BANGUNAN PEMBUANG PENGAMAN SUNGAI
5;02;04;05;BANGUNAN PENGAMAN PENGAMANAN SUNGAI/PANTAI
5;02;04;06;BANGUNAN PELENGKAP PENGAMAN SUNGAI
5;02;04;99;BANGUNAN PENGAMAN SUNGAI/PANTAI & PENANGGULANGAN BENCANA ALAM LAINNYA
5;02;05;00;BANGUNAN PENGEMBANGAN SUMBER AIR DAN AIR TANAH
5;02;05;01;BANGUNAN WADUK PENGEMBANGAN SUMBER AIR
5;02;05;02;BANGUNAN PENGAMBILAN PENGEMBANGAN SUMBER AIR
5;02;05;03;BANGUNAN PEMBAWA PENGEMBANGAN SUMBER AIR
5;02;05;04;BANGUNAN PEMBUANG PENGEMBANGAN SUMBER AIR
5;02;05;05;BANGUNAN PENGAMAN PENGEMBANGAN SUMBER AIR
5;02;05;06;BANGUNAN PELENGKAP PENGEMBANGAN SUMBER AIR
5;02;05;07;BANGUNAN SAWAH IRIGASI AIR TANAH
5;02;05;99;BANGUNAN PENGEMBANGAN SUMBER AIR DAN AIR TANAH LAINNYA
5;02;06;00;BANGUNAN AIR BERSIH/AIR BAKU
5;02;06;01;BANGUNAN WADUK AIR BERSIH/AIR BAKU
5;02;06;02;BANGUNAN PENGAMBILAN AIR BERSIH/AIR BAKU
5;02;06;03;BANGUNAN PEMBAWA AIR BERSIH/AIR BAKU
5;02;06;04;BANGUNAN PEMBUANG AIR BERSIH/AIR BAKU
5;02;06;05;BANGUNAN PELENGKAP AIR BERSIH/AIR BAKU
5;02;06;99;BANGUNAN AIR BERSIH/AIR BAKU LAINNYA
5;02;07;00;BANGUNAN AIR KOTOR
5;02;07;01;BANGUNAN PEMBAWA AIR KOTOR
5;02;07;02;BANGUNAN WADUK AIR KOTOR
5;02;07;03;BANGUNAN PEMBUANG AIR KOTOR
5;02;07;04;BANGUNAN PENGAMAN AIR KOTOR
5;02;07;05;BANGUNAN PELENGKAP AIR KOTOR
5;02;07;99;BANGUNAN AIR KOTOR LAINNYA
5;03;00;00;INSTALASI
5;03;01;00;INSTALASI AIR BERSIH / AIR BAKU
5;03;01;01;INSTALASI AIR PERMUKAAN
5;03;01;02;INSTALASI AIR SUMBER / MATA AIR
5;03;01;03;INSTALASI AIR TANAH DALAM
5;03;01;04;INSTALASI AIR TANAH DANGKAL
5;03;01;05;INSTALASI AIR BERSIH / AIR BAKU LAINNYA
5;03;01;99;INSTALASI AIR BERSIH / AIR BAKU LAINNYA
5;03;02;00;INSTALASI AIR KOTOR
5;03;02;01;INSTALASI AIR BUANGAN DOMESTIK
5;03;02;02;INSTALASI AIR BUANGAN INDUSTRI
5;03;02;03;INSTALASI AIR BUANGAN PERTANIAN
5;03;02;99;INSTALASI AIR KOTOR LAINNYA
5;03;03;00;INSTALASI PENGOLAHAN SAMPAH
5;03;03;01;INSTALASI PENGOLAHAN SAMPAH ORGANIK
5;03;03;02;INSTALASI PENGOLAHAN SAMPAH NON ORGANIK
