akunUtama;akunKelompok;akunJenis;akunObjek;Uraian
5;2;4;;Belanja Jasa Sewa
5;2;4;1;Belanja Jasa Sewa Bangunan/Gedung
5;2;4;2;Belanja Jasa Sewa Peralatan/Perlengkapan
5;2;4;3;Belanja Jasa Sewa Sarana Mobilitas
5;2;4;90;Belanja Jasa Sewa Mesin dan alat berat
5;2;5;;Belanja Operasional Perkantoran
5;2;5;1;Belanja Jasa Langganan Listrik
5;2;5;2;Belanja Jasa Langganan Air Bersih
5;2;5;3;Belanja Jasa Langganan Majalah/Surat Kabar
5;2;5;4;Belanja Jasa Langganan Telepon
5;2;5;5;Belanja Jasa Langganan Internet
5;2;5;6;Belanja Jasa Kurir/ Pos/ Giro
5;2;5;7;Belanja Jasa Perpanjangan Ijin/Pajak
5;2;5;90;Belanja Jasa Service Peralatan Elektronik dan Listrik
5;2;5;91;Belanja Jasa Pengumuman dan/atau Pemenang Lelang
5;2;5;92;Belanja Insentif/Operasional RT/RW
5;2;5;93;Belanja Jasa transaksi keuangan (Administrasi Bank, Pajak Bank, dll)
5;2;5;94;Belanja Operasional/insentif RT/RW
5;2;6;;Belanja Pemeliharaan
5;2;6;1;Belanja Pemeliharaan Mesin dan Peralatan Berat
5;2;6;2;Belanja Pemeliharaan Kendaraan Bermotor
5;2;6;3;Belanja Pemeliharaan Peralatan
5;2;6;4;Belanja Pemeliharaan Bangunan
5;2;6;5;Belanja Pemeliharaan Jalan
5;2;6;6;Belanja Pemeliharaan Jembatan
5;2;6;7;Belanja Pemeliharaan Irigasi/Saluran Sungai/Embung/Air Bersih, Jaringan Air Limbah, Persampahan, dll
5;2;6;8;Belanja Pemeliharaan Jaringan dan Instalasi (Listrik, Telephon, Internet, Komunikasi, dll)
5;2;6;90;Belanja Pemeliharaan Lapangan Olahraga
5;2;7;;Belanja Barang dan Jasa yang Diserahkan kepada Masyarakat
5;2;7;1;Belanja Bahan Perlengkapan yang Diserahkan ke masyarakat
5;2;7;2;Belanja Bantuan Mesin/ kendaraaan bermotor/Peralatan yang diserahkan ke masyarakat
5;2;7;3;Belanja Bantuan Bangunan yang diserahkan ke masyarakat
5;2;7;4;Belanja Beasiswa Berprestasi/Masyarakat Miskin
5;2;7;5;Belanja Bantuan Bibit Tanaman/Hewan/Ikan
5;3;;;BELANJA MODAL
5;3;1;;Belanja Modal Pengadaan Tanah
5;3;1;1;Belanja Modal Pembebasan/ Pembelian Tanah
5;3;1;2;Belanja Modal Pembayaran Honorarium Tim Tanah
5;3;1;3;Belanja Modal Pengukuran dan Pembuatan Sertifikat Tanah
5;3;1;4;Belanja Modal Pengurukan dan Pematangan Tanah
5;3;1;5;Belanja Modal Perjalanan Pengadaan Tanah
5;3;2;;Belanja Modal Peralatan, Mesin, dan Alat Berat
5;3;2;1;Belanja Modal Honorarium Tim yang melaksanakan kegiatan
5;3;2;2;Belanja Modal Peralatan Elektronik dan Alat Studio
5;3;2;3;Belanja Modal Peralatan Komputer
5;3;2;4;Belanja Modal Peralatan Mebeulair dan Aksesori Ruangan
5;3;2;5;Belanja Modal Peralatan Dapur
5;3;2;6;Belanja Modal Peralatan Alat Ukur
5;3;2;7;Belanja Modal Peralatan Rambu-rambu/Patok Tanah
5;3;2;8;Belanja Modal Peralatan khusus Kesehatan
5;3;2;9;Belanja Modal Peralatan khusus Pertanian/ Perikanan/ Peternakan
5;3;2;10;Belanja Modal Mesin
5;3;2;11;Belanja Modal Pengadaan Alat-Alat Berat
5;3;3;;Belanja Modal Kendaraan
5;3;3;1;Belanja Modal Honor Tim yang Melaksanakan Kegiatan
5;3;3;2;Belanja Modal Kendaraan Darat Bermotor
5;3;3;3;Belanja Modal Angkutan Darat Tidak Bermotor
5;3;3;4;Belanja Modal Kendaraan Air Bermotor
5;3;3;5;Belanja Modal Angkutan Air Tidak Bermotor
5;3;4;;Belanja Modal Gedung, Bangunan dan Taman
5;3;4;1;Belanja Modal Honor Tim yang Melaksanakan Kegiatan
5;3;4;2;Belanja Modal Upah Tenaga Kerja
5;3;4;3;Belanja Modal Bahan Baku
5;3;4;4;Belanja Modal Sewa Peraiatan
5;3;4;90;Belanja Modal Administrasi Penunjang Kegiatan
5;3;5;;Belanja Modal Jalan/Prasarana Jalan
5;3;5;1;Belanja Modal Honor Tim yang Melaksanakan Kegiatan
5;3;5;2;Belanja Modal Upah Tenaga Kerja
5;3;5;3;Belanja Modal Bahan Baku
5;3;5;4;Belanja Modal Sewa Peraiatan
5;3;5;90;Belanja Modal Administrasi Penunjang Kegiatan
5;3;6;;Belanja Modal Jembatan
5;3;6;1;Belanja Modal Honor Tim yang Melaksanakan Kegiatan
5;3;6;2;Belanja Modal Upah Tenaga Kerja
5;3;6;3;Belanja Modal Bahan Baku
5;3;6;4;Belanja Modal Sewa Peralatan
5;3;6;90;Belanja Modal Administrasi Penunjang Kegiatan
5;3;7;;Belanja Modal Irigasi/Embung/Air Sungai/Drainase/Air Limbah/Persampahan
5;3;7;1;Belanja Modal Honor Tim yang Melaksanakan Kegiatan
5;3;7;2;Belanja Modal Upah Tenaga Kerja
5;3;7;3;Betanja Modal Bahan Baku
5;3;7;4;Belanja Modal Sewa Peralatan
5;3;7;90;Belanja Modal Administrasi Penunjang Kegiatan
5;3;8;;Belanja Modal Jaringan/Instalasi
5;3;8;1;Belanja Modal Honor Tim yang Melaksanakan Kegiatan
5;3;8;2;Belanja Modal Upah Tenaga Kerja
5;3;8;3;Belanja Modal Bahan Baku
5;3;8;4;Belanja Modal Sewa Peralatan
5;3;8;90;Belanja Modal Administrasi Penunjang Kegiatan
5;3;9;;Belanja Modal Lainnya
5;3;9;1;Belanja Modal khusus Pendidikan dan Perpustakaan
5;3;9;2;Belanja Modal khusus Olahraga
5;3;9;3;Belanja Modal khusus Kesenian/Kebudayaan/ keagamaan
5;3;9;4;Belanja Modal Tumbuhan/Tanaman
5;3;9;5;Belanja Modal Hewan
5;4;;;Belanja Tak Terduga
5;4;1;;Belanja Tak Terduga
5;4;1;1;Belanja Tak Terduga
6;;;;PEMBIAYAAN
6;1;;;Penerimaan Pembiayaan
6;1;1;;SILPA Tahun Sebelumnya
6;1;1;1;SILPA Tahun Sebelumnya
6;1;2;;Pencairan Dana Cadangan
6;1;2;1;Pencairan Dana Cadangan
6;1;3;;Hasil Penjualan Kekayaan Desa yang Dipisahkan
6;1;3;1;Hasil Penjualan Kekayaan Desa yang Dipisahkan
6;1;9;;Penerimaan Modal Desa
6;1;9;90;Penerimaan Modal Desa
6;2;;;Pengeluaran Pembiayaan
6;2;1;;Pembentukan Dana Cadangan
