URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);19600000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Penyuluhan dan Pelatihan Bidang Kesehatan (Untuk Masy, Tenaga dan
Kader Kesehatan dll)";3600000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana
Posyandu/Polindes/PKD **";4000000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jembatan Milik Desa
**)";15000000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";3000000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Dukungan Pelaksanaan Program Pembangunan/Rehab Rumah Tidak Layak
Huni GAKIN";170000000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sambungan Air Bersih ke Rumah
Tangga **)";387236350;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitas/Peningkatan Fasilitas Jamban Umum/MCK
umum, dll **)";10000000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Dukungan Pelaksanaan Program Jambanisasi untuk Keluarga Miskin;60000000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Penyediaan Kendaraan Pengangkut Sampah, Gerobak Sampah, Tong
Sampah, Mesin Pengolah Sampah";192639595;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Penyelenggaraan Informasi Publik Desa (Poster, Baliho Dll);1869000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas Kepala Desa;1500000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Peningkatan Kapatitas Perangkat Desa;15000000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas BPD;5000000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pelatihan dan Penyuluhan Pemberdayaan Perempuan;2000000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pelatihan dan Penyuluhan Perlindungan Anak;2000000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembentukan BUM Desa (Persiapan dan Pembentukan Awal BUMDesa);60000000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Penyusunan Dokumen Perencanaan Desa (RPJMDes/RKPDes,dll);11960000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pengembangan Sistem Informasi Desa;11000000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Penyelenggaraan Desa Siaga Kesehatan;155000000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Lingkungan Permukiman/Gang **;77997700;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitasi/Peningkatan Fasilitas Pengelolaan Sampah Desa/Permukiman (Penampungan, Bank Sampah, dll)**;2400000;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Sarana Prasarana BUMDes;35422920;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Penyertaan Modal Desa;73307435;2019;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Penyelenggaraan Pos Kesehatan Desa/Polindes Milik Desa (obat, Insentif,
KB, dsb)";750000;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);31753160;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pemeliharaan Sarana Prasarana Posyandu/Polindes/PKD;14000000;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana
Posyandu/Polindes/PKD **";5770751;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pemeliharaan Jalan Usaha Tani;9944750;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembuatan/Pemutakhiran Peta Wilayah dan Sosial Desa (Dipilih);20000000;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pemeliharaan Sarana Prasarana Olah Raga/ Gedung Serba Guna;3100000;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Pemeliharaan Fasilitas Pengelolaan Sampah Desa (Penampungan,
Bank Sampah, dll)";13088823;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Fasilitas Pengelolaan Sampah
(Dipilih)";9500000;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitasi/Peningkatan Jaringan Listrik/ Penerangan Desa;6500000;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Penyelenggaraan Informasi Publik Desa (Poster, Baliho Dll);250000;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Pembuatan dan Pengelolaan Jaringan/Instalasi Komunikasi dan Informasi
Lokal Desa";28750000;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Penyelenggaran Festival Kesenian, Adat/Kebudayaan, dan Kegamaan (HUT
RI, Raya Keagamaan dll)";47000000;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pembentukan/Fasilitasi/Pelatihan/Pendampingan kelompok usaha ekonomi produktif  (pengrajin, pedagang, industri rumah tangga, dll) **;43664339;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pencegahan dan Penanganan Covid-19;195000000;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
BLT DD;1037400000;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
Pemeliharan Jaringan listrik tenaga surya;1000000;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jembatan Milik Desa
(Dipilih)";22131000;2020;MANDIRAJA;MOGA;PEMALANG;JAWA TENGAH
URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
NA;NA;2015;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
NA;NA;2016;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;99511000;2017;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN TURAP/BRONJONG TALUD DESA;71584000;2017;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Stimulasi RTLH & Jamban Keluarga;26000000;2017;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Pembentukan dan Pengelolaan BUMDesa;837800;2017;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;148414000;2017;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;202000200;2017;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;121024000;2017;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Lapangan;102930800;2017;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;55322000;2017;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;78251000;2017;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMILIHARAAN TURAP/BRONJONG TALUD DESA;161360000;2018;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PENGEMBANGAN SARANA PRASARANA KOMUNIKASI DAN INFORMATIKA;50000000;2018;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMILIHARAAN JALAN  DESA;775157100;2018;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Jembatan;97116000;2018;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Pelatihan Aparatur Pemerintah Desa;6450000;2018;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Promosi Kesehatan;10000000;2018;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Gedung BUMDesa;183166900;2018;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Stimulasi RTLH dan Jamban Keluarga;26000000;2018;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Penyertaan modal BUMDesa;70000000;2018;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah NonFormal Milik Desa
(Honor, Pakaian dll)";94740000;2019;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Pemeliharaan Jembatan Desa;32619100;2019;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jembatan Milik Desa
**)";95465400;2019;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";230695700;2019;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sambungan Air Bersih ke Rumah
Tangga **)";225000000;2019;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Dukungan Pelaksanaan Program Jambanisasi untuk Keluarga Miskin;6000000;2019;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Penyelenggaraan Informasi Publik Desa (Poster, Baliho Dll);4500000;2019;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Pembinaan PKK;14336750;2019;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas Kepala Desa;2000000;2019;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Peningkatan Kapatitas Perangkat Desa;10000000;2019;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas BPD;5000000;2019;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Lingkungan
Permukiman **)";19107700;2019;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Prasarana Jalan Desa (Gorong,
selokan dll)";38762800;2019;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitas/Peningkatan/Pengerasan Jalan Desa **);158579550;2019;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
"Dukungan Pelaksanaan Program Pembangunan/Rehab Rumah Tidak
Layak Huni GAKIN";30000000;2019;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa
(Honor, Pakaian dll)";6000000;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Dukungan Penyelenggaraan PAUD (APE, Sarana PAUD, dst);10000000;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
"Penyelenggaraan Pos Kesehatan Desa/Polindes Milik Desa (obat, Insentif,
KB, dsb)";15000000;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);25277800;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
"Penyuluhan dan Pelatihan Bidang Kesehatan (Untuk Masy, Tenaga dan
Kader Kesehatan dll)";2400000;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Pembuatan/Pemutakhiran Peta Wilayah dan Sosial Desa (Dipilih);30000000;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";350601400;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
"Dukungan Pelaksanaan Program Pembangunan/Rehab Rumah Tidak Layak
Huni GAKIN";30000000;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sambungan Air Bersih ke Rumah
Tangga (Dipilih)";198000000;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Bimtek/Pelatihan/Pengenalan TTG untuk Perikanan Darat/Nelayan (Dipilih);10500000;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Penyediaan sarana (aset tetap) perkantoran/pemerintahan;25000000;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Penyelenggaraan Informasi Publik Desa  (Misal : Pembuatan Poster/Baliho Informasi penetapan/LPJ APBDes untuk Warga, dll);4500000;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Peningkatan kapasitas perangkat Desa;5500000;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Penanganan dan Pencegahan COVID-19;184256800;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Penanganan dan Pencegahan COVID-19 Padat Karya Pembuatan Masker;86750000;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Penyaluran Bantuan Langsung Tunai (BLT) Tahap  (3)  900.000;231300000;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Pemberian Bantuan Langsung Tunai BLT Tahap 2 @300.000;231300000;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
Pemberian Bantuan Langsung Tunai Tahap Satu @600.000;462600000;2020;WALANGSANGA;MOGA;PEMALANG;JAWA TENGAH
URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
NA;NA;2015;SIMA;MOGA;PEMALANG;JAWA TENGAH
NA;NA;2016;SIMA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;417603000;2017;SIMA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PENGELOLAAN AIR BERSIH BERSKALA DESA;122834000;2017;SIMA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN TURAP/BRONJONG TALUD DESA;18979000;2017;SIMA;MOGA;PEMALANG;JAWA TENGAH
Stimulasi RTLH dan  Jamban Keluarga;26000000;2017;SIMA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;129687000;2017;SIMA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;87097000;2017;SIMA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;55303000;2017;SIMA;MOGA;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;100459200;2017;SIMA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Jalan Desa;992939900;2018;SIMA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Talud;250043200;2018;SIMA;MOGA;PEMALANG;JAWA TENGAH
Pembangunan Drainase;55744600;2018;SIMA;MOGA;PEMALANG;JAWA TENGAH
Stimulasi RTLH dan Jamban Keluarga;325000000;2018;SIMA;MOGA;PEMALANG;JAWA TENGAH
SID;50000000;2018;SIMA;MOGA;PEMALANG;JAWA TENGAH
