id,kodedesa,Tahun,Provinsi,Kabupaten,Kecamatan,Desa,No_Reg,Nama_Bumdes,Perdes_Bumdes,Kades,Unit_Usaha,Alamat,AD_ART,SOP,Email,FB,TWITTER,IG,Aplikasi_Bumdes
21,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,SIREMENG,,, / ,,,,,,,,,,
22,3327142006,2000,JAWA TENGAH,PEMALANG,PULOSARI,CIKENDUNG,,, / ,,,,,,,,,,
23,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,GOMBONG,3327031002,Maju Makmur,Mar-17,Hadiatun N,-,jl. kalpataru gombong,-,-,bumdesgombong.belik@gmail.com,-,@bumdesgombong,-,-
24,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,BELIK,,, / ,,,,,,,,,,
25,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,GUNUNGTIGA,,, / ,,,,,,,,,,
26,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,KUTA,,, / ,,,,,,,,,,
27,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,BADAK,,, / ,,,,,,,,,,
28,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,GUNUNGJAYA,3327031001,NGUDI TUWUH,Jun-18,SUGENG RIYADI,-,balaidesa gunungjaya,-,-,akgiwangtara@gmail.com,-,-,-,-
29,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,SIMPUR,,, / ,,,,,,,,,,
30,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,MENDELEM,,, / ,,,,,,,,,,
31,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,BELUK,3327031003,BESTARI,Apr-17,YUNUS SUPRIYANTO,"Gedung Pertemuan, Barang Sewaan Lainnya, Barang Sewaan Lainnya, BUMDes Mart, Sumber Daya Lokal dan Teknologi Tepat Guna Lainnya, ",Beluk Dk. pekutukan,Ada,-,bumdesbestaribelul@gmail.com,fb,-,-,-
32,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,BULAKAN,,, / ,,,,,,,,,,
33,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,SIKASUR,,, / ,,,,,,,,,,
34,3327142006,2000,JAWA TENGAH,PEMALANG,BELIK,KALISALEH,,, / ,,,,,,,,,,
35,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,TLAGASANA,3327041001,TLAGASANA,Feb-20,RIDWAN,"Kegiatan Usaha Bersama Lainnya, Air Minum Desa, ",RT 003 RW 001,-,-,bumdestlagasana@gmail.com,-,-,-,-
36,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,TUNDAGAN,,, / ,,,,,,,,,,
37,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,BONGAS,,, / ,,,,,,,,,,
38,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,CIKADU,,, / ,,,,,,,,,,
39,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,CAWET,3327041007,KARYA MANDIRI,Apr-16,TAUFIK SALEH,-,DUKUH SIPEDANG CAWET,Ada,Ada,karyamandiri@gmail.com,karyamandiri,karyamandiri,karyamandiri,-
40,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,MEDAYU,,, / ,,,,,,,,,,
41,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,PAGELARAN,,, / ,,,,,,,,,,
42,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,BODAS,,, / ,,,,,,,,,,
43,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,JOJOGAN,3327041002,SIDO JAYA,Apr-16,IRMAN FAOZI,-,"JL, RAYA KALIMANGGIS KM. 6 DESA JOJOGAN",-,Ada,sidojaya09@gmail.com,https,https://,https://,www.sidojaya.com
44,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,MAJALANGU,,, / ,,,,,,,,,,
45,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,TAMBI,3327041006,SEKAR MULYA,Apr-16,JURI,-,Jalan Raya Desa Tambi Kecamatan Watukumpul,Ada,Ada,mulyasekar732@gmail.com,-,-,-,-
46,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,WATUKUMPUL,3327041004,SELA MAKMUR,Apr-16,SITI KHOPSAH,-,Watukumpul RT 01 RW 04,Ada,-,bumdesselamakmurwatukumpul@gmail.com,bumdes sela makmur watukumpul,bumdes sela makmur,bumdessela,-
47,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,GAPURA,,, / ,,,,,,,,,,
48,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,MAJAKERTA,,, / ,,,,,,,,,,
49,3327142006,2000,JAWA TENGAH,PEMALANG,WATUKUMPUL,WISNU,3327041003,MANDIRI SEJAHTERA,Jan-16,B. Sutejo,-,Jl. Raya Wisnu - Majakerta,Ada,Ada,-,-,-,-,-
50,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,LONGKEYANG,,, / ,,,,,,,,,,
51,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,JATINGARANG,,, / ,,,,,,,,,,
52,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,GUNUNGBATU,,, / ,,,,,,,,,,
53,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,PASIR,,, / ,,,,,,,,,,
54,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,KWASEN,,, / ,,,,,,,,,,
55,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,JATIROYOM,,, / ,,,,,,,,,,
56,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,PARUNGGALIH,,, / ,,,,,,,,,,
57,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,PAYUNG,,, / ,,,,,,,,,,
58,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,CANGAK,,, / ,,,,,,,,,,
59,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,KEBANDUNGAN,3327051005,Patra,Feb-17,"Muyasyaroh, S.Pd",-,JL. Desa Kebandungan,Ada,Ada,bumdesapatrakebandungan@gmail.com,-,-,-,-
60,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,KESESIREJO,3327052004,BUMDESA BERSAMA BODEH JAYA,Feb-18,AGUS JOHAR MAKNUN (BKAD),"BUMDes Mart, Desa Wisata, ",Jln. Raya Kesesirejo - Bodeh,Ada,Ada,bumdesmabodehjaya@gmail.com,BUMDESA BERSAMA BODEH JAUA,-,-,-
61,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,BABAKAN,,, / ,,,,,,,,,,
62,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,KARANGBRAI,,, / ,,,,,,,,,,
63,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,JRAGANAN,,, / ,,,,,,,,,,
64,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,KEBANDARAN,3327051002,SEMAR MAS,Mar-17,Sumarto Cumul,"Air Minum Desa, Kios pupuk, ",Jl. Raya Kebandaran - Bodeh,Ada,Ada,semarmas19@yahoo.com,Bumdes Semar Mas Kebandaran,-,-,-
65,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,BODEH,3327051006,PAYUNG MAS,Feb-17,TURAH SUPARNO,"Barang Sewaan Lainnya, ",JALAN RAYA PAYUNG NO. 85 DESA PAYUNG,Ada,Ada,bumdespayung@gmail.com,-,-,-,-
66,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,MUNCANG,,, / ,,,,,,,,,,
67,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,KELANGDEPOK,3327051001,MAJU MAPAN,Feb-17,MOCHAMAD ARIFIN,-,Jalan Pemuda no 64,Ada,Ada,kelangdepokbumdes@gmail.com,-,-,-,-
68,3327142006,2000,JAWA TENGAH,PEMALANG,BODEH,PENDOWO,3327051003,BumDesa Kresna,Feb-17,DURAHMAN,"Kredit Simpan Pinjam, Kegiatan Usaha Bersama Lainnya, ",PENDOWO,Ada,-,frans.wifi@gmail.com,-,-,-,-
69,3327142006,2000,JAWA TENGAH,PEMALANG,BANTARBOLANG,SUMURKIDANG,,, / ,,,,,,,,,,
70,3327142006,2000,JAWA TENGAH,PEMALANG,BANTARBOLANG,WANARATA,,, / ,,,,,,,,,,
71,3327142006,2000,JAWA TENGAH,PEMALANG,BANTARBOLANG,PEDAGUNG,,, / ,,,,,,,,,,
72,3327142006,2000,JAWA TENGAH,PEMALANG,BANTARBOLANG,SURU,,, / ,,,,,,,,,,
73,3327142006,2000,JAWA TENGAH,PEMALANG,BANTARBOLANG,BANJARSARI,3327061001,bina usaha mandiri,Mar-17,mujahidin,-,jl. dr sutomo,Ada,-,bbinausahamandiri@gmail.com,-,-,-,-
74,3327142006,2000,JAWA TENGAH,PEMALANG,BANTARBOLANG,PEGIRINGAN,,, / ,,,,,,,,,,
75,3327142006,2000,JAWA TENGAH,PEMALANG,BANTARBOLANG,KARANGANYAR,,, / ,,,,,,,,,,
76,3327142006,2000,JAWA TENGAH,PEMALANG,BANTARBOLANG,PURANA,,, / ,,,,,,,,,,
77,3327142006,2000,JAWA TENGAH,PEMALANG,BANTARBOLANG,PABUARAN,,, / ,,,,,,,,,,
78,3327142006,2000,JAWA TENGAH,PEMALANG,BANTARBOLANG,SARWODADI,,, / ,,,,,,,,,,
79,3327142006,2000,JAWA TENGAH,PEMALANG,BANTARBOLANG,BANTARBOLANG,3327061003,SUMBER REJEKI,Mar-17,Sodikin Spd.i,"Jasa Pelayanan Lainnya, ",Jalan Raya Bantarbolang No.171 Rt.05/Rw.03,-,-,BumdesSR@yahoo.co.id,-,-,-,-
80,3327142006,2000,JAWA TENGAH,PEMALANG,BANTARBOLANG,SAMBENG,,, / ,,,,,,,,,,
81,3327142006,2000,JAWA TENGAH,PEMALANG,BANTARBOLANG,GLANDANG,,, / ,,,,,,,,,,
82,3327142006,2000,JAWA TENGAH,PEMALANG,BANTARBOLANG,KUTA,,, / ,,,,,,,,,,
83,3327142006,2000,JAWA TENGAH,PEMALANG,BANTARBOLANG,KEBON GEDE,,, / ,,,,,,,,,,
84,3327142006,2000,JAWA TENGAH,PEMALANG,BANTARBOLANG,PAGUYANGAN,,, / ,,,,,,,,,,
85,3327142006,2000,JAWA TENGAH,PEMALANG,BANTARBOLANG,LENGGERONG,3327061002,karya utama,Jan-17,surip,-,RT 04 / RW 01,Ada,Ada,hae.chand@gmail.com,Bumdes karya utama,Bumdes karya utama,Bumdes karya utama,hae.chand@gmail.com
86,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,KECEPIT,,, / ,,,,,,,,,,
87,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,GEMBYANG,3327071001,Gempita,Feb-17,Suparjo,"Tempat Wisata, ",Jl. Balai Desa Gembyang Rt 01 Rw 02 Desa Gembyang,Ada,Ada,bumdes.gempita@gmail.com,-,-,-,-
88,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,MEJAGONG,,, / ,,,,,,,,,,
89,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,PENUSUPAN,,, / ,,,,,,,,,,
90,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,BANJARANYAR,,, / ,,,,,,,,,,
91,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,RANDUDONGKAL,,, / ,,,,,,,,,,
92,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,KARANGMONCOL,,, / ,,,,,,,,,,
93,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,SEMINGKIR,,, / ,,,,,,,,,,
94,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,SEMAYA,,, / ,,,,,,,,,,
95,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,TANAHBAYA,,, / ,,,,,,,,,,
96,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,LODAYA,,, / ,,,,,,,,,,
97,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,REMBUL,,, / ,,,,,,,,,,
98,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,KREYO,,, / ,,,,,,,,,,
99,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,KALIMAS,,, / ,,,,,,,,,,
100,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,MANGLI,3327071002,Berkah Sejahtera,141 / 2019,MANGGUSSUDIBYO,"BUMDes Mart, ",JALAN RAYA DESA MANGLI RT 004 RW 001,-,Ada,bumdesberkahsejahtera814@gmail.com,www.facebook/berkahsejahteramangli.com,-,-,-
101,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,KALITORONG,,, / ,,,,,,,,,,
102,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,KEJENE,,, / ,,,,,,,,,,
103,3327142006,2000,JAWA TENGAH,PEMALANG,RANDUDONGKAL,GONGSENG,,, / ,,,,,,,,,,
104,3327142006,2000,JAWA TENGAH,PEMALANG,PEMALANG,BANJARMULYA,3327081006,MULYA USAHA,Feb-17,SUNOTO,-,Jl. Raya Desa Banjarmulya Kec./Kab. Pemalang,-,-,bumdesbanjarmulya@gmail.com,-,-,-,-
105,3327142006,2000,JAWA TENGAH,PEMALANG,PEMALANG,SURAJAYA,3327081007,Purbaya,Feb-16,Wasno,-,Kawasan Wisata Wippas Desa Surajaya RT03/RW03,Ada,Ada,bumdespurbaya@gmail.com,Kawasan Wisata Wippas,kosong,kosong,kosong
106,3327142006,2000,JAWA TENGAH,PEMALANG,PEMALANG,KRAMAT,3327081001,KRAMAT MULYA,Feb-17,RAHAYU,"Hasil Pertanian, Peternakan, Kredit Simpan Pinjam, ",Jl. Merak No 1,-,-,bumdeskramatmulya@gmail.com,-,-,-,-
107,3327142006,2000,JAWA TENGAH,PEMALANG,PEMALANG,PEGONGSORAN,3327081002,candra kartika,Feb-17,turitno,"BUMDes Mart, ",jalan r. sutawijaya no 17,Ada,Ada,bumdes.candrakartika@gmail.com,candra.kartika,BumdesaCandra,bumdes.candra_kartika,-
108,3327142006,2000,JAWA TENGAH,PEMALANG,PEMALANG,SUNGAPAN,3327081005,sumber selamat,Jan-17,sobirin,"Sumber Daya Lokal dan Teknologi Tepat Guna Lainnya, ",jl. makam pahlawan no.9,Ada,Ada,andymulia2303@gmail.com,andymulyono79@yahoo.co.id,-,-,www.bumdessumberselamat.co.id
109,3327142006,2000,JAWA TENGAH,PEMALANG,PEMALANG,SARADAN,3327081008,ABDI GUNA Saradan,Feb-17,Herry Kuswadyono,"Perkakas Pesta, ",Desa Saradan RT 02/RW 02,Ada,Ada,bumdesabdiguna@gmail.com,-,-,-,-
110,3327142006,2000,JAWA TENGAH,PEMALANG,PEMALANG,SEWAKA,3327081003,MITRA SEWAKA,Feb-17,ALMAKIYAH,"Rumah Toko, ",JL. MELON NO 1,Ada,Ada,mitrasewaka@gmail.com,-,-,-,-
111,3327142006,2000,JAWA TENGAH,PEMALANG,PEMALANG,MENGORI,,, / ,,,,,,,,,,
112,3327142006,2000,JAWA TENGAH,PEMALANG,PEMALANG,WANAMULYA,,, / ,,,,,,,,,,
113,3327142006,2000,JAWA TENGAH,PEMALANG,PEMALANG,BOJONGNANGKA,3327081009,MEKAR SEMBODO,Apr-16,"WAHMU, SE","Kredit Simpan Pinjam, Jasa Pelayanan Lainnya, BUMDes Mart, ",JL. SUKUN,Ada,Ada,bumdes.mekarsembodo@gmail.com,-,-,-,-
114,3327142006,2000,JAWA TENGAH,PEMALANG,PEMALANG,TAMBAKREJO,,, / ,,,,,,,,,,
115,3327142006,2000,JAWA TENGAH,PEMALANG,PEMALANG,LAWANGREJO,3327081004,LAWANG JAYA,Feb-17,Waliyas S Pd,"Perkakas Pesta, ",Lawangrejo Rt 04/ Rw 03,Ada,Ada,nanikr437@gmail.com,-,-,-,-
116,3327142006,2000,JAWA TENGAH,PEMALANG,PEMALANG,DANASARI,,, / ,,,,,,,,,,
117,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,PENGGARIT,3327091002,WIGUNA UTAMA,May-16,IMAM WIBOWO,"Desa Wisata, Kegiatan Usaha Bersama Lainnya, ","Komplek Kios Pasar Desa no 3 dan 4, Jalan Warih Prabowo, Dusun Capit Urang RT. 06 RW. 03",Ada,Ada,wigunautama16@gmail.com,Wiguna Utama Saka,BumDesa Wiguna Utama,benowopark,-
118,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,PENER,,, / ,,,,,,,,,,
119,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,JRAKAH,3327091006,SEJAHTERA ABADI,Mar-17,TARYONO,-,JL. PANCANITI. RT 10/ RW 03,Ada,Ada,sejahteraabadi42@gmail.com,-,-,-,-
120,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,GONDANG,,, / ,,,,,,,,,,
121,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,SOKAWANGI,,, / ,,,,,,,,,,
122,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,KEJAMBON,3327091001,MITRA WARGA,Feb-17,DAMU AL SUTIKNO,"Air Minum Desa, ",JALAN MAHESOJATI NO 1 RT 007 RW 003,Ada,Ada,bumdeskejambon@gmail.com,-,-,-,-
123,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,JEBED UTARA,,, / ,,,,,,,,,,
124,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,CIBELOK,3327091003,Kalimasada Utama,Feb-17,Warsono,-,"Jl. Maluku Utara, No. 05",Ada,Ada,kalimasada.utama@gmail.com,https://www.facebook.com/kalimasada.utama.7,-,-,-
125,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,BANJARDAWA,3327091004,PUSAKA JAYA,Feb-17,"SUKANDAR,SPd","Barang Sewaan Lainnya, ",Jl. Pierre Tendean no. 44 Kompleks Balai Desa Banjardawa,Ada,Ada,bumdespusakajayaoffice@gmail.com,-,-,-,-
126,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,BANJARAN,3327091005,Makmur Sejahtera,Apr-18,"WIWIN WIDORETNO, S.I.Kom","BUMDes Mart, ","Jl. Irian Jaya, Desa Banjaran, Kecamatan Taman Kabupaten Pemalang",Ada,-,bumdes.makmur.sejahtera007,BumdesBanjaran MakmurSejahtera,-,BumdesBanjaran MakmurSejahtera,-
127,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,SITEMU,,, / ,,,,,,,,,,
128,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,PEDURUNGAN,,, / ,,,,,,,,,,
129,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,TAMAN,,, / ,,,,,,,,,,
130,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,KALIGELANG,,, / ,,,,,,,,,,
131,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,KABUNAN,,, / ,,,,,,,,,,
132,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,ASEMDOYONG,,, / ,,,,,,,,,,
133,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,KEDUNGBANJAR,,, / ,,,,,,,,,,
134,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,WANAREJAN UTARA,3327091007,Sejahtera,Jan-17,mahmud,-,jl.desa wanarejan utara,Ada,Ada,bumdeswanut@gmail.com,-,-,-,-
135,3327142006,2000,JAWA TENGAH,PEMALANG,TAMAN,JEBED SELATAN,,, / ,,,,,,,,,,
136,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,KENDALSARI,3327101001,Berkah Sari Mandiri,Jun-17,Siswantoro,-,"Jl.Raya Kendalsari, no.28",Ada,Ada,bsmbumdes@gmail.com,-,-,-,-
137,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,WIDODAREN,3327101006,Mugi Rahayu,Jan-17,"Hendra Banaba, ST.",-,Jl. Desa Widodaren Kecamatan Petarukan Kabupaten Pemalang ,Ada,-,diahsusani77@gmail.com,-,-,-,-
138,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,KARANGASEM,3327101007,Akmaliah,Mar-17,HERI KISNANTO,-,Jl. Prapatan no. 81 desa karangasem kecamatan petarukan kabupaten pemalang kode pos 52362,Ada,-,desakarangasem2018@yahoo.com,-,-,-,-
139,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,PETANJUNGAN,3327101002,Tanjung Cipta Sejahtera,Jul-17,Abdul Rohman,"Peternakan, Sumber Daya Lokal dan Teknologi Tepat Guna Lainnya, ",Jalan Raya Desa Petanjungan RT 6 RW 1,Ada,Ada,kasikesradesapetanjungan@gmail.com,https://facebook.com,https://twitter.com,https://instagram.com,petanjungan.desa.id
140,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,SERANG,3327101004,Prima Jaya Desa Serang,Feb-18,Slamet Widodo,-,Jl. Desa Serang Sitemu KM.1.2,Ada,Ada,bumdesprimajayaserang@gmail.com,Prima Jaya Serang,-,-,-
141,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,KALIRANDU,3327101003,RANDU RAHARJA,Jun-19,TABIIN,-,jl.  Garuda Raya. Rt. 004. Rw 002 Desa Kalirandu,Ada,Ada,pemdeskalirandu@gmail.com,-,-,-,-
142,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,ISER,,, / ,,,,,,,,,,
143,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,SIRANGKANG,3327101008,Adil Makmur ,Jun-17,Wardi,-,Desa Sirangkang Kecamatan Petarukan Kabupaten Pemalang ,Ada,-,adilmakmurbumdes@gmail.com,-,-,-,-
144,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,PESUCEN,3327101009,Mekar Suci ,Jun-17,"Daryono, A.Ma.Pd",-,Jl. Raya Desa Pesucen Kecamatan Petarukan Kabupaten Pemalang ,-,-,suciharti82@gmail.com,-,-,-,-
145,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,TEMUIRENG,,, / ,,,,,,,,,,
146,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,PANJUNAN,3327101010,MAJU LANCAR,Jul-17,SUHARNO,-,JALAN INPRES NO. 192,Ada,-,astuti885566@gmail.com,-,-,-,-
147,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,KENDALDOYONG,3327101005,MANUNGGAL JAYA,Jul-17,BADRUN,"Kredit Simpan Pinjam, ",JL PROKLAMASI NO 1,Ada,-,-,-,-,-,-
148,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,PEGUNDAN,3327101011,SIDAMPOLIS,Jul-17,SUTRISNO,"Jasa Pelayanan Lainnya, ",Jl. Kartini Pegundan,-,-,wahludiludi@gmail.com,-,-,-,-
149,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,BULU,,, / ,,,,,,,,,,
150,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,TEGALMLATI,3327101012,Karya Melati ,Jul-17,"Kusmanto, S.Pd",-,Desa Tegalmlati Kecamatan Petarukan Kabupaten Pemalang ,Ada,-,bumdeskaryamelati@gmail.com,-,-,-,-
151,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,LONING,3327101013,Loman,Jun-17,Wahyudin,-,Desa Loning Kecamatan Petarukan Kabupaten ,Ada,-,bumdesloman@gmail.com,-,-,-,-
152,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,KLAREYAN,3327101014,MANGU SEJAHTERA,Jun-17,"Wiharnyo,ST","Kegiatan Bisnis Produktif Lainnya, ",Jl. Karangdempel 69 Klareyan,Ada,Ada,Mangusejahtera@gmail.com,-,-,-,-
153,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,KENDALREJO,3327101015,REJO MAKMUR,Jun-17,TITIK ISWATI,-,jl penyu no 1 ds kendalrejo kec petarukan kab pemalang,-,-,-,-,-,-,-
154,3327142006,2000,JAWA TENGAH,PEMALANG,PETARUKAN,NYAMPLUNGSARI,3327101016,Pandan Sari Mandiri ,Apr-17,Abdul Wahid,-,Desa Nyamplungsari Kecamatan Petarukan Kabupaten Pemalang ,Ada,-,pandansarimandiri,-,-,-,-
155,3327142006,2000,JAWA TENGAH,PEMALANG,AMPELGADING,SOKAWATI,,, / ,,,,,,,,,,
156,3327142006,2000,JAWA TENGAH,PEMALANG,AMPELGADING,TEGALSARI TIMUR,,, / ,,,,,,,,,,
